"acres"|"acquisitioncost"|"areaname"|"agency"
396.91|890000|"01"|"AQ-DFW"
4355.73|12090800|"02"|"AQ-DFW"
10111.2|12282410|"03"|"AQ-DFW"
147524.68|91484124|"04"|"AQ-DFW"
57879.28|117246772|"05"|"AQ-DFW"
2887.91|10337726|"06"|"AQ-DFW"
29.95|447600|"08"|"AQ-DFW"
2134539.33|20000|"01"|"AQ-DNR-AQUATIC"
2135117.31|158025|"02"|"AQ-DNR-AQUATIC"
2309576.04|0|"03"|"AQ-DNR-AQUATIC"
149188.05|0|"04"|"AQ-DNR-AQUATIC"
110187.35|0|"05"|"AQ-DNR-AQUATIC"
2294230.58999999|2471921|"06"|"AQ-DNR-AQUATIC"
2135552.35|13000|"07"|"AQ-DNR-AQUATIC"
2145389.1|0|"08"|"AQ-DNR-AQUATIC"
2138372.07|0|"09"|"AQ-DNR-AQUATIC"
13647.88|18906050|"01"|"AQ-DNR-UPLANDS"
422527.39|134794670|"02"|"AQ-DNR-UPLANDS"
571709.78|90771260.55|"03"|"AQ-DNR-UPLANDS"
832692.950000002|270424670.65|"04"|"AQ-DNR-UPLANDS"
755607.63|31433798|"05"|"AQ-DNR-UPLANDS"
586978|119176992.53|"06"|"AQ-DNR-UPLANDS"
62.83|0|"07"|"AQ-DNR-UPLANDS"
209190.41|161143838.4|"08"|"AQ-DNR-UPLANDS"
1407.52|37350000|"09"|"AQ-DNR-UPLANDS"
475.36|21857858.69|"02"|"AQ-PARKS"
722.95|13333605.37|"03"|"AQ-PARKS"
285.89|1969049.55|"04"|"AQ-PARKS"
3243.96|22951514.76|"05"|"AQ-PARKS"
912.57|13622006.92|"06"|"AQ-PARKS"
536.53|458923.2|"08"|"AQ-PARKS"
475.36|21857858.69|"02"|"AQ-STATE"
722.95|13333605.37|"03"|"AQ-STATE"
285.89|1969049.55|"04"|"AQ-STATE"
3243.96|22951514.76|"05"|"AQ-STATE"
912.57|13622006.92|"06"|"AQ-STATE"
536.53|458923.2|"08"|"AQ-STATE"
3945.89|20204050|"01"|"CONSERVATION"
54058.52|46935981|"02"|"CONSERVATION"
24844.5|40754760.55|"03"|"CONSERVATION"
26274.19|39896133.03|"04"|"CONSERVATION"
42780.88|28239500|"05"|"CONSERVATION"
32250.99|50521842.53|"06"|"CONSERVATION"
65339.67|105148838.4|"08"|"CONSERVATION"
3691.37|5350000|"09"|"CONSERVATION"
963.52|3338016.55|"01"|"DEVELOPED RECREATION"
17203.75|55479815.76|"02"|"DEVELOPED RECREATION"
12533.36|21308720.67|"03"|"DEVELOPED RECREATION"
23109.13|15087217.45|"04"|"DEVELOPED RECREATION"
22463.69|13204964.25|"05"|"DEVELOPED RECREATION"
7709.99|26274534.83|"06"|"DEVELOPED RECREATION"
5.64|13000|"07"|"DEVELOPED RECREATION"
7171.38|31589755.43|"08"|"DEVELOPED RECREATION"
987.25|2627332|"09"|"DEVELOPED RECREATION"
1467.86|1298000|"01"|"DFW"
17905.65|14042822|"02"|"DFW"
21376.46|13217610|"03"|"DFW"
448347.02|96935318|"04"|"DFW"
210761.35|143889184|"05"|"DFW"
11411.38|17035426|"06"|"DFW"
449.66|447600|"08"|"DFW"
3641.4|0|"09"|"DFW"
2134539.33|20000|"01"|"DNR AQUATIC"
2135117.31|158025|"02"|"DNR AQUATIC"
2309576.04|0|"03"|"DNR AQUATIC"
149188.05|0|"04"|"DNR AQUATIC"
110187.35|0|"05"|"DNR AQUATIC"
2294230.58999999|2471921|"06"|"DNR AQUATIC"
2135552.35|13000|"07"|"DNR AQUATIC"
2145389.1|0|"08"|"DNR AQUATIC"
2138372.07|0|"09"|"DNR AQUATIC"
13647.88|18906050|"01"|"DNR UPLANDS"
422527.39|134794670|"02"|"DNR UPLANDS"
571709.78|90771260.55|"03"|"DNR UPLANDS"
832692.950000002|270424670.65|"04"|"DNR UPLANDS"
755607.63|31433798|"05"|"DNR UPLANDS"
586978|119176992.53|"06"|"DNR UPLANDS"
