"acres"|"acquisitioncost"|"areaname"|"agency"
21889.84|22920282|"Asotin"|"AQ-DFW"
690.35|883000|"Chelan"|"AQ-DFW"
192.94|1807000|"Clallam"|"AQ-DFW"
300.6|0|"Clark"|"AQ-DFW"
1036.74|1080000|"Columbia"|"AQ-DFW"
3836.39|0|"Cowlitz"|"AQ-DFW"
3109.71|1094000|"Douglas"|"AQ-DFW"
707.98|1732600|"Franklin"|"AQ-DFW"
367.24|1840000|"Garfield"|"AQ-DFW"
326.75|351160|"Grant"|"AQ-DFW"
2211.14|5135526|"Grays Harbor"|"AQ-DFW"
35.82|670000|"Island"|"AQ-DFW"
72.33|185000|"Jefferson"|"AQ-DFW"
396.91|890000|"Kitsap"|"AQ-DFW"
106490.82|58891772|"Kittitas"|"AQ-DFW"
827.81|941048|"Klickitat"|"AQ-DFW"
1856.59|1235000|"Lewis"|"AQ-DFW"
275.19|350000|"Lincoln"|"AQ-DFW"
411.5|3210200|"Mason"|"AQ-DFW"
31853.79|82876490|"Okanogan"|"AQ-DFW"
2157.51|4439410|"Pacific"|"AQ-DFW"
2779.52|9100000|"Pend Oreille"|"AQ-DFW"
29.95|447600|"Pierce"|"AQ-DFW"
2505.82|4039700|"Skagit"|"AQ-DFW"
1687.02|6500000|"Snohomish"|"AQ-DFW"
1948.49|6129000|"Thurston"|"AQ-DFW"
119.97|479000|"Wahkiakum"|"AQ-DFW"
127.07|881100|"Whatcom"|"AQ-DFW"
52016.09|37353828|"Yakima"|"AQ-DFW"
61747.86|0|"Adams"|"AQ-DNR-AQUATIC"
9662.94|0|"Asotin"|"AQ-DNR-AQUATIC"
72860.32|0|"Benton"|"AQ-DNR-AQUATIC"
96390.06|0|"Chelan"|"AQ-DNR-AQUATIC"
2116927.78|192921|"Clallam"|"AQ-DNR-AQUATIC"
169304.67|0|"Clark"|"AQ-DNR-AQUATIC"
66529.6|0|"Columbia"|"AQ-DNR-AQUATIC"
173259.26|0|"Cowlitz"|"AQ-DNR-AQUATIC"
60460.77|0|"Douglas"|"AQ-DNR-AQUATIC"
947.56|0|"Ferry"|"AQ-DNR-AQUATIC"
59954.17|0|"Franklin"|"AQ-DNR-AQUATIC"
6712.66|0|"Garfield"|"AQ-DNR-AQUATIC"
71314.19|0|"Grant"|"AQ-DNR-AQUATIC"
2284268.7|509000|"Grays Harbor"|"AQ-DNR-AQUATIC"
2114013.24|42075|"Island"|"AQ-DNR-AQUATIC"
2116433.77|0|"Jefferson"|"AQ-DNR-AQUATIC"
2143833.13|13000|"King"|"AQ-DNR-AQUATIC"
2114806.8|20000|"Kitsap"|"AQ-DNR-AQUATIC"
71307.05|0|"Kittitas"|"AQ-DNR-AQUATIC"
29029.57|0|"Klickitat"|"AQ-DNR-AQUATIC"
2119415.27|0|"Lewis"|"AQ-DNR-AQUATIC"
5156.07|0|"Lincoln"|"AQ-DNR-AQUATIC"
2118557.16|860000|"Mason"|"AQ-DNR-AQUATIC"
69608.79|0|"Okanogan"|"AQ-DNR-AQUATIC"
2287552.97|0|"Pacific"|"AQ-DNR-AQUATIC"
17947.74|0|"Pend Oreille"|"AQ-DNR-AQUATIC"
2118681.37|910000|"Pierce"|"AQ-DNR-AQUATIC"
2113832.67|0|"San Juan"|"AQ-DNR-AQUATIC"
2124952.69|115950|"Skagit"|"AQ-DNR-AQUATIC"
177149.89|0|"Skamania"|"AQ-DNR-AQUATIC"
2124304.64|0|"Snohomish"|"AQ-DNR-AQUATIC"
6932.31|0|"Spokane"|"AQ-DNR-AQUATIC"
6182.33|0|"Stevens"|"AQ-DNR-AQUATIC"
2117717.97|0|"Thurston"|"AQ-DNR-AQUATIC"
169311.93|0|"Wahkiakum"|"AQ-DNR-AQUATIC"
59816.94|0|"Walla Walla"|"AQ-DNR-AQUATIC"
2126830.43|0|"Whatcom"|"AQ-DNR-AQUATIC"
69862.34|0|"Whitman"|"AQ-DNR-AQUATIC"
59816.94|0|"Yakima"|"AQ-DNR-AQUATIC"
56516.23|614300|"Adams"|"AQ-DNR-UPLANDS"
13585.79|288250|"Asotin"|"AQ-DNR-UPLANDS"
53522.34|19726587.62|"Benton"|"AQ-DNR-UPLANDS"
42932.59|1464000|"Chelan"|"AQ-DNR-UPLANDS"
184646.08|25712000|"Clallam"|"AQ-DNR-UPLANDS"
77750.59|6257000|"Clark"|"AQ-DNR-UPLANDS"
10830.27|425000|"Columbia"|"AQ-DNR-UPLANDS"
139868.19|107500|"Cowlitz"|"AQ-DNR-UPLANDS"
105156.55|10000|"Douglas"|"AQ-DNR-UPLANDS"
35199.89|4622170|"Ferry"|"AQ-DNR-UPLANDS"
33950.5|17287972|"Franklin"|"AQ-DNR-UPLANDS"
11154.35|600000|"Garfield"|"AQ-DNR-UPLANDS"
97267.06|7750000|"Grant"|"AQ-DNR-UPLANDS"
153639.45|40665350|"Grays Harbor"|"AQ-DNR-UPLANDS"
453.44|5718742|"Island"|"AQ-DNR-UPLANDS"
272054.9|62229242.53|"Jefferson"|"AQ-DNR-UPLANDS"
140021.04|179830903.25|"King"|"AQ-DNR-UPLANDS"
19357.23|24708650|"Kitsap"|"AQ-DNR-UPLANDS"
266510.29|198979290.77|"Kittitas"|"AQ-DNR-UPLANDS"
130959.75|20879500|"Klickitat"|"AQ-DNR-UPLANDS"
180218.87|54296103.53|"Lewis"|"AQ-DNR-UPLANDS"
50464.06|2558100|"Lincoln"|"AQ-DNR-UPLANDS"
71591.38|31475400|"Mason"|"AQ-DNR-UPLANDS"
326447.28|23424148|"Okanogan"|"AQ-DNR-UPLANDS"
119587.48|39944000|"Pacific"|"AQ-DNR-UPLANDS"
