"acres"|"acquisitioncost"|"areaname"|"agency"
5.81017554695193|440000|"02"|"AQ-DFW"
3382.43743975253|27480800|"07"|"AQ-DFW"
2844.75563242575|17493646|"09"|"AQ-DFW"
40.2060944498271|522700|"10"|"AQ-DFW"
1786.9589779378|25749545|"12"|"AQ-DFW"
12305.2501180039|34733233|"13"|"AQ-DFW"
3412.5199833704|19200013|"14"|"AQ-DFW"
57.3069645268872|250|"15"|"AQ-DFW"
100.261816255054|540000|"16"|"AQ-DFW"
639.642365779395|6943936|"19"|"AQ-DFW"
945.326937517535|2304000|"20"|"AQ-DFW"
56.9482946887357|1879500|"24"|"AQ-DFW"
0.190324491503051|7600|"31"|"AQ-DFW"
145.942638368982|3673600|"35"|"AQ-DFW"
349.25429103841|250000|"39"|"AQ-DFW"
83.4276629706824|1864000|"40"|"AQ-DFW"
10.2884077053675|68100|"42"|"AQ-DFW"
174.212053049203|3230000|"44"|"AQ-DFW"
16.5970391560632|1230000|"02"|"AQ-DNR"
4665.46430545282|71745500|"05"|"AQ-DNR"
822.097202702845|24762248|"07"|"AQ-DNR"
2196.61195581072|27176692|"09"|"AQ-DNR"
320.081471174535|4292614|"10"|"AQ-DNR"
148.44653825311|1689000|"12"|"AQ-DNR"
23395.2340765047|196732078|"13"|"AQ-DNR"
9438.61920399518|107607678|"14"|"AQ-DNR"
45.7694823516106|447000|"15"|"AQ-DNR"
1050.06904442382|19726587.62|"16"|"AQ-DNR"
15.0924441348842|1488000|"17"|"AQ-DNR"
70.4224152694294|4912000|"18"|"AQ-DNR"
1393.62918968089|43878600|"19"|"AQ-DNR"
933.870830107128|54580000|"20"|"AQ-DNR"
39.6607804823947|5582000|"22"|"AQ-DNR"
0.124311972262073|0|"23"|"AQ-DNR"
3125.57682012782|80792650|"24"|"AQ-DNR"
5.25443067348938|910000|"26"|"AQ-DNR"
4551.9948842658|64695000|"31"|"AQ-DNR"
0.353645238657575|8000000|"33"|"AQ-DNR"
1.1419783408802|13000|"34"|"AQ-DNR"
1361.11451878224|84639550|"35"|"AQ-DNR"
4742.87245421764|124575900|"39"|"AQ-DNR"
91.8784236672303|6296950|"40"|"AQ-DNR"
36.7061757277724|124000|"42"|"AQ-DNR"
0.584006729394688|0|"49"|"AQ-DNR"
13.6830620431657|304000|"02"|"AQ-PARKS"
0.312543672343797|0|"03"|"AQ-PARKS"
0.0807898340934531|0|"04"|"AQ-PARKS"
93.4677619923961|71000|"05"|"AQ-PARKS"
0.179324678451617|0|"06"|"AQ-PARKS"
0.154521029277323|95000|"07"|"AQ-PARKS"
386.900470541484|62458|"09"|"AQ-PARKS"
53.3775669138098|19118805.24|"10"|"AQ-PARKS"
132.870848493035|12738549.74|"12"|"AQ-PARKS"
30.4165518193959|1072954.47|"13"|"AQ-PARKS"
21.2206728967274|1392000|"14"|"AQ-PARKS"
0.0857844009932223|1095.08|"15"|"AQ-PARKS"
46.81726352514|97500|"18"|"AQ-PARKS"
43.9957697875851|5849344.57|"19"|"AQ-PARKS"
0.440694407713629|334600|"20"|"AQ-PARKS"
88.0959997059683|2558152.9|"24"|"AQ-PARKS"
0.648891948520614|1801.54|"26"|"AQ-PARKS"
0.229255116148031|56423.2|"31"|"AQ-PARKS"
52.8505063073739|7971500|"35"|"AQ-PARKS"
28.492791864963|120778.45|"40"|"AQ-PARKS"
0.956233767088337|0|"48"|"AQ-PARKS"
630.365519052832|0|"01"|"CITY-COUNTY"
1932.0809050389|0|"02"|"CITY-COUNTY"
510.81340788654|0|"03"|"CITY-COUNTY"
1416.0239678116|0|"04"|"CITY-COUNTY"
15648.6178569615|0|"05"|"CITY-COUNTY"
2828.02180346061|0|"06"|"CITY-COUNTY"
4133.90362610683|0|"07"|"CITY-COUNTY"
1507.77528633268|0|"08"|"CITY-COUNTY"
2378.56226249529|0|"09"|"CITY-COUNTY"
2205.31788387655|0|"10"|"CITY-COUNTY"
488.020130602012|0|"11"|"CITY-COUNTY"
4410.13494686785|0|"12"|"CITY-COUNTY"
7113.32598160434|0|"13"|"CITY-COUNTY"
2848.49066160369|0|"14"|"CITY-COUNTY"
1484.44004652855|0|"15"|"CITY-COUNTY"
5703.21841150046|0|"16"|"CITY-COUNTY"
372.387040597322|0|"17"|"CITY-COUNTY"
1153.49747718308|0|"18"|"CITY-COUNTY"
5481.39410569147|0|"19"|"CITY-COUNTY"
8338.55291586172|0|"20"|"CITY-COUNTY"
781.738694357562|0|"21"|"CITY-COUNTY"
1253.24113025302|0|"22"|"CITY-COUNTY"
618.021427575262|0|"23"|"CITY-COUNTY"
9461.88712779276|0|"24"|"CITY-COUNTY"
527.513816399795|0|"25"|"CITY-COUNTY"
946.205483896563|0|"26"|"CITY-COUNTY"
865.144037574651|0|"27"|"CITY-COUNTY"
522.165423351169|0|"28"|"CITY-COUNTY"
338.711577565451|0|"29"|"CITY-COUNTY"
366.289020936939|0|"30"|"CITY-COUNTY"
10557.8522174707|0|"31"|"CITY-COUNTY"
361.785409521559|0|"32"|"CITY-COUNTY"
1140.62076420047|0|"33"|"CITY-COUNTY"
538.27784428888|0|"34"|"CITY-COUNTY"
5635.24856507631|0|"35"|"CITY-COUNTY"
365.544845826195|0|"36"|"CITY-COUNTY"
312.248752447059|0|"37"|"CITY-COUNTY"
1804.20748643784|0|"38"|"CITY-COUNTY"
7807.59644694498|0|"39"|"CITY-COUNTY"
3298.6212885127|0|"40"|"CITY-COUNTY"
743.826103960058|0|"41"|"CITY-COUNTY"
4281.86180212682|0|"42"|"CITY-COUNTY"
157.039681740159|0|"43"|"CITY-COUNTY"
845.984269966803|0|"44"|"CITY-COUNTY"
708.75698598235|0|"45"|"CITY-COUNTY"
239.944840826323|0|"46"|"CITY-COUNTY"
986.672876262402|0|"47"|"CITY-COUNTY"
434.354172717383|0|"48"|"CITY-COUNTY"
1059.08069835728|0|"49"|"CITY-COUNTY"
68.6023345842919|1130000|"02"|"CONSERVATION"
34.5740339191217|0|"04"|"CONSERVATION"
5649.89716485103|47145500|"05"|"CONSERVATION"
5990.32842263558|220000|"07"|"CONSERVATION"
