"acres"|"acquisitioncost"|"areaname"|"agency"
6629.49257741604|17609840|"Alkali-Squilchuck"|"AQ-DFW"
726.310598575262|0|"Cowlitz"|"AQ-DFW"
0.201112200996182|304000|"Deschutes"|"AQ-DFW"
37.2292012007291|1694500|"Elwha-Dungeness"|"AQ-DFW"
121.823482826637|1402000|"Esquatzel Coulee"|"AQ-DFW"
530.335950157953|924000|"Foster"|"AQ-DFW"
23.3551824512093|479000|"Grays/Elochoman"|"AQ-DFW"
3.74653495247879|335000|"Island"|"AQ-DFW"
25.602885115546|434000|"Kennedy-Goldsborough"|"AQ-DFW"
8.59068522733153|37000|"Kettle"|"AQ-DFW"
104.526693082947|3386600|"Kitsap"|"AQ-DFW"
114.407009869807|542774|"Klickitat"|"AQ-DFW"
57.7276050423519|0|"Lewis"|"AQ-DFW"
577.990140859562|9100000|"Little Spokane"|"AQ-DFW"
115.679624442232|1185526|"Lower Chehalis"|"AQ-DFW"
41.4596290147044|201160|"Lower Crab"|"AQ-DFW"
131.925406473411|2281700|"Lower Skagit / Samish"|"AQ-DFW"
13.6746697853099|350000|"Lower Spokane"|"AQ-DFW"
375.510467772086|1714050|"Lower Yakima"|"AQ-DFW"
762.61282055638|20780645|"Methow"|"AQ-DFW"
2823.19396585417|16171646|"Middle Snake"|"AQ-DFW"
98.2827423847271|120000|"Moses Coulee"|"AQ-DFW"
4245.84311971663|20656097|"Naches"|"AQ-DFW"
10.2884077053675|68100|"Nooksack"|"AQ-DFW"
3052.17246448314|21335700|"Okanogan"|"AQ-DFW"
6.00050003845498|447600|"Puyallup-White"|"AQ-DFW"
15.0523154989061|185000|"Quilcene-Snow"|"AQ-DFW"
174.212053049203|3230000|"Snohomish"|"AQ-DFW"
0.431787044180996|20000|"Stillaguamish"|"AQ-DFW"
274.415607053781|3395000|"Upper Chehalis"|"AQ-DFW"
42.6750335732814|350000|"Upper Crab-Wilson"|"AQ-DFW"
336.784319988849|0|"Upper Skagit"|"AQ-DFW"
4412.37107378676|22708233|"Upper Yakima"|"AQ-DFW"
10.4887668466371|621000|"Wenatchee"|"AQ-DFW"
407.759411690687|4079410|"Willapa"|"AQ-DFW"
28.5645751311254|362500|"Wind-White Salmon"|"AQ-DFW"
640.972002107704|56555000|"Alkali-Squilchuck"|"AQ-DNR"
108.969480644111|48252000|"Cedar-Sammamish"|"AQ-DNR"
257.270043891565|5540170|"Colville"|"AQ-DNR"
499.39361089676|41947000|"Cowlitz"|"AQ-DNR"
39.6607804823947|5582000|"Deschutes"|"AQ-DNR"
4681.89301647271|91585000|"Duwamish-Green"|"AQ-DNR"
634.345300521587|22226000|"Elwha-Dungeness"|"AQ-DNR"
627.08196381124|11446300|"Esquatzel Coulee"|"AQ-DNR"
13.10129149306|667000|"Grays/Elochoman"|"AQ-DNR"
0.970160889376423|30000|"Hangman"|"AQ-DNR"
20.2622169696371|1742075|"Island"|"AQ-DNR"
58.0212550619049|37737000|"Kennedy-Goldsborough"|"AQ-DNR"
101.629060735637|4622170|"Kettle"|"AQ-DNR"
592.407662350633|23279050|"Kitsap"|"AQ-DNR"
224.164298717256|15813200|"Klickitat"|"AQ-DNR"
98.2627689482551|1345000|"Lewis"|"AQ-DNR"
8.2549244003851|151000|"Little Spokane"|"AQ-DNR"
