"acres"|"acquisitioncost"|"areaname"|"agency"
29.00|440000|"02"|"AQ-DFW"
15880.37|27480800|"07"|"AQ-DFW"
14847.38|17493646|"09"|"AQ-DFW"
191.40|522700|"10"|"AQ-DFW"
8640.45|25749545|"12"|"AQ-DFW"
61459.44|34733233|"13"|"AQ-DFW"
25579.69|19200013|"14"|"AQ-DFW"
292.59|250|"15"|"AQ-DFW"
518.37|540000|"16"|"AQ-DFW"
3239.20|6943936|"19"|"AQ-DFW"
4839.72|2304000|"20"|"AQ-DFW"
274.66|1879500|"24"|"AQ-DFW"
0.95|7600|"31"|"AQ-DFW"
719.09|3673600|"35"|"AQ-DFW"
1651.21|250000|"39"|"AQ-DFW"
395.16|1864000|"40"|"AQ-DFW"
48.13|68100|"42"|"AQ-DFW"
841.44|3230000|"44"|"AQ-DFW"
83.80|1230000|"02"|"AQ-DNR"
22960.00|71745500|"05"|"AQ-DNR"
21197.41|24762248|"07"|"AQ-DNR"
13773.68|27176692|"09"|"AQ-DNR"
1692.57|4292614|"10"|"AQ-DNR"
728.42|1689000|"12"|"AQ-DNR"
163761.48|196732078|"13"|"AQ-DNR"
114191.84|107607678|"14"|"AQ-DNR"
231.71|447000|"15"|"AQ-DNR"
5457.13|19726587.62|"16"|"AQ-DNR"
189.26|1488000|"17"|"AQ-DNR"
450.70|4912000|"18"|"AQ-DNR"
11921.43|43878600|"19"|"AQ-DNR"
13466.84|54580000|"20"|"AQ-DNR"
197.76|5582000|"22"|"AQ-DNR"
0.61|0|"23"|"AQ-DNR"
23947.39|80792650|"24"|"AQ-DNR"
26.02|910000|"26"|"AQ-DNR"
22587.71|64695000|"31"|"AQ-DNR"
1.75|8000000|"33"|"AQ-DNR"
5.64|13000|"34"|"AQ-DNR"
22266.77|84639550|"35"|"AQ-DNR"
42432.49|124575900|"39"|"AQ-DNR"
434.12|6296950|"40"|"AQ-DNR"
171.32|124000|"42"|"AQ-DNR"
3.07|0|"49"|"AQ-DNR"
68.90|304000|"02"|"AQ-PARKS"
2.40|0|"03"|"AQ-PARKS"
0.39|0|"04"|"AQ-PARKS"
460.65|71000|"05"|"AQ-PARKS"
2.40|0|"06"|"AQ-PARKS"
0.73|95000|"07"|"AQ-PARKS"
1929.10|62458|"09"|"AQ-PARKS"
254.32|19118805.24|"10"|"AQ-PARKS"
629.52|12738549.74|"12"|"AQ-PARKS"
151.20|1072954.47|"13"|"AQ-PARKS"
111.52|1392000|"14"|"AQ-PARKS"
0.44|1095.08|"15"|"AQ-PARKS"
246.65|97500|"18"|"AQ-PARKS"
225.31|5849344.57|"19"|"AQ-PARKS"
2.25|334600|"20"|"AQ-PARKS"
429.96|2558152.9|"24"|"AQ-PARKS"
3.21|1801.54|"26"|"AQ-PARKS"
1.14|56423.2|"31"|"AQ-PARKS"
263.14|7971500|"35"|"AQ-PARKS"
133.99|120778.45|"40"|"AQ-PARKS"
4.67|0|"48"|"AQ-PARKS"
3234.40|0|"01"|"CITY-COUNTY"
12424.00|0|"02"|"CITY-COUNTY"
2659.19|0|"03"|"CITY-COUNTY"
8899.98|0|"04"|"CITY-COUNTY"
84662.25|0|"05"|"CITY-COUNTY"
14338.76|0|"06"|"CITY-COUNTY"
20226.79|0|"07"|"CITY-COUNTY"
8121.29|0|"08"|"CITY-COUNTY"
13210.43|0|"09"|"CITY-COUNTY"
10557.71|0|"10"|"CITY-COUNTY"
2949.68|0|"11"|"CITY-COUNTY"
21747.09|0|"12"|"CITY-COUNTY"
36983.56|0|"13"|"CITY-COUNTY"
14802.04|0|"14"|"CITY-COUNTY"
7683.51|0|"15"|"CITY-COUNTY"
29628.88|0|"16"|"CITY-COUNTY"
1957.04|0|"17"|"CITY-COUNTY"
6081.71|0|"18"|"CITY-COUNTY"
28282.36|0|"19"|"CITY-COUNTY"
45101.07|0|"20"|"CITY-COUNTY"
3959.21|0|"21"|"CITY-COUNTY"
6288.26|0|"22"|"CITY-COUNTY"
3013.97|0|"23"|"CITY-COUNTY"
49673.69|0|"24"|"CITY-COUNTY"
2896.05|0|"25"|"CITY-COUNTY"
4776.48|0|"26"|"CITY-COUNTY"
4400.80|0|"27"|"CITY-COUNTY"
2672.43|0|"28"|"CITY-COUNTY"
1762.90|0|"29"|"CITY-COUNTY"
1880.88|0|"30"|"CITY-COUNTY"
60120.50|0|"31"|"CITY-COUNTY"
1872.35|0|"32"|"CITY-COUNTY"
5755.91|0|"33"|"CITY-COUNTY"
2687.39|0|"34"|"CITY-COUNTY"
28242.93|0|"35"|"CITY-COUNTY"
1963.02|0|"36"|"CITY-COUNTY"
1620.24|0|"37"|"CITY-COUNTY"
9202.64|0|"38"|"CITY-COUNTY"
38256.96|0|"39"|"CITY-COUNTY"
16002.01|0|"40"|"CITY-COUNTY"
3942.12|0|"41"|"CITY-COUNTY"
20084.85|0|"42"|"CITY-COUNTY"
873.50|0|"43"|"CITY-COUNTY"
4597.07|0|"44"|"CITY-COUNTY"
3631.27|0|"45"|"CITY-COUNTY"
1203.73|0|"46"|"CITY-COUNTY"
5110.56|0|"47"|"CITY-COUNTY"
2169.76|0|"48"|"CITY-COUNTY"
5613.80|0|"49"|"CITY-COUNTY"
386.26|1130000|"02"|"CONSERVATION"
168.90|0|"04"|"CONSERVATION"
27776.09|47145500|"05"|"CONSERVATION"
27963.45|220000|"07"|"CONSERVATION"
361.87|0|"09"|"CONSERVATION"
64.71|1700000|"10"|"CONSERVATION"
5111.13|1689000|"12"|"CONSERVATION"
225.40|0|"13"|"CONSERVATION"
14345.94|26332700|"14"|"CONSERVATION"
296.39|447000|"15"|"CONSERVATION"
189.26|1488000|"17"|"CONSERVATION"
453.00|4912000|"18"|"CONSERVATION"
15309.27|6945500|"19"|"CONSERVATION"
749.64|5949000|"20"|"CONSERVATION"
722.88|5350000|"22"|"CONSERVATION"
7599.56|19600500|"24"|"CONSERVATION"
2968.49|0|"26"|"CONSERVATION"
2968.49|0|"28"|"CONSERVATION"
2022.52|37740000|"31"|"CONSERVATION"
6641.70|31632350|"35"|"CONSERVATION"
46082.66|55177000|"39"|"CONSERVATION"
5469.06|5574750|"40"|"CONSERVATION"
1524.28|24000|"42"|"CONSERVATION"
164.28|0|"44"|"CONSERVATION"
1130.31|4430302|"02"|"DEVELOPED RECREATION"
169.01|34.75|"03"|"DEVELOPED RECREATION"
3636.15|81885.5|"04"|"DEVELOPED RECREATION"
2979.26|13967548.15|"05"|"DEVELOPED RECREATION"
1396.77|99460.75|"06"|"DEVELOPED RECREATION"
1338.69|518135.41|"07"|"DEVELOPED RECREATION"
4223.36|1518008|"09"|"DEVELOPED RECREATION"
2148.48|12097645.69|"10"|"DEVELOPED RECREATION"
3843.27|5215818.96|"12"|"DEVELOPED RECREATION"
5595.27|3703834.26|"13"|"DEVELOPED RECREATION"
6205.33|3475755.49|"14"|"DEVELOPED RECREATION"
992.69|55950.88|"15"|"DEVELOPED RECREATION"
324.20|5|"16"|"DEVELOPED RECREATION"
850.53|835571.89|"18"|"DEVELOPED RECREATION"
4587.82|8524606.73|"19"|"DEVELOPED RECREATION"
2355.09|2799613.91|"20"|"DEVELOPED RECREATION"
126.98|100550|"22"|"DEVELOPED RECREATION"
135.98|58002|"23"|"DEVELOPED RECREATION"
2311.45|4776086.13|"24"|"DEVELOPED RECREATION"
58.31|46938|"26"|"DEVELOPED RECREATION"
1.31|0|"30"|"DEVELOPED RECREATION"
409.60|1646790|"31"|"DEVELOPED RECREATION"
2.00|201|"33"|"DEVELOPED RECREATION"
5.64|13000|"34"|"DEVELOPED RECREATION"
