"acres"|"acquisitioncost"|"agency"
223185.66|244779432|"AQ-DFW"
2568731.53|2662946|"AQ-DNR-AQUATIC"
3197677.62|755528212.43|"AQ-DNR-UPLANDS"
6177.26|74192958.49|"AQ-PARKS"
6177.26|74192958.49|"AQ-STATE"
248470.37|328937015.81|"CONSERVATION"
86990.9199999999|159762597.79|"DEVELOPED RECREATION"
711650.010000001|286865960|"DFW"
2568731.53|2662946|"DNR AQUATIC"
3197677.62|755528212.43|"DNR UPLANDS"
16835295.9200002|0|"FEDERAL"
157.22|915075|"HABITAT AND PASSIVE RECREATION"
182855.77|399188998.12|”PARKS"
2973019.58|468522767.62|"REVENUE"
6660914.93|1444246116.55|"STATE"
