"acres"|"acquisitioncost"|"areaname"|"agency"
40.2060944498272|522700|"10"|"AQ-DFW"
1786.96292922118|25749545|"12"|"AQ-DFW"
12305.036759995|34733233|"13"|"AQ-DFW"
3412.7293900959|19200013|"14"|"AQ-DFW"
57.3069645268872|250|"15"|"AQ-DFW"
100.231532847662|540000|"16"|"AQ-DFW"
639.642365779395|6943936|"19"|"AQ-DFW"
5.8085633468543|440000|"2"|"AQ-DFW"
945.326937517535|2304000|"20"|"AQ-DFW"
56.9482946887357|1879500|"24"|"AQ-DFW"
0.191936691600684|447600|"31"|"AQ-DFW"
145.942638368982|3673600|"35"|"AQ-DFW"
349.25429103841|250000|"39"|"AQ-DFW"
83.4276629706824|1864000|"40"|"AQ-DFW"
10.2884077053675|68100|"42"|"AQ-DFW"
174.212053049203|3230000|"44"|"AQ-DFW"
3382.43743975253|27480800|"7"|"AQ-DFW"
2844.78591583314|17493646|"9"|"AQ-DFW"
320.081471174535|4292614|"10"|"AQ-DNR"
148.44653825311|1689000|"12"|"AQ-DNR"
23394.9590766568|196732078|"13"|"AQ-DNR"
9438.89420384299|107607678|"14"|"AQ-DNR"
45.7694823516106|447000|"15"|"AQ-DNR"
1050.06904442382|19726587.62|"16"|"AQ-DNR"
15.1009903478621|1488000|"17"|"AQ-DNR"
70.4138690564483|4912000|"18"|"AQ-DNR"
1393.62918968089|43878600|"19"|"AQ-DNR"
16.5970391560632|1230000|"2"|"AQ-DNR"
933.870830107128|54580000|"20"|"AQ-DNR"
39.6607804823947|5582000|"22"|"AQ-DNR"
0.124311972262073|0|"23"|"AQ-DNR"
3125.57682012782|80792650|"24"|"AQ-DNR"
5.25443067348938|910000|"26"|"AQ-DNR"
4551.9948842658|64695000|"31"|"AQ-DNR"
0.353645238657575|8000000|"33"|"AQ-DNR"
1.1419783408802|13000|"34"|"AQ-DNR"
1361.11451878224|84639550|"35"|"AQ-DNR"
4743.07666805161|131369900|"39"|"AQ-DNR"
91.8784236672303|6296950|"40"|"AQ-DNR"
36.7061757277724|124000|"42"|"AQ-DNR"
0.584006729394688|0|"49"|"AQ-DNR"
4665.26009161883|71745500|"5"|"AQ-DNR"
822.097202702845|24762248|"7"|"AQ-DNR"
2196.61195581072|27176692|"9"|"AQ-DNR"
53.3775669138098|19118805.24|"10"|"AQ-PARKS"
132.870848493035|12738549.74|"12"|"AQ-PARKS"
30.4165518193959|1072954.47|"13"|"AQ-PARKS"
21.2206728967274|1392000|"14"|"AQ-PARKS"
0.0857844009932223|1095.08|"15"|"AQ-PARKS"
46.81726352514|97500|"18"|"AQ-PARKS"
43.9957697875851|5849344.57|"19"|"AQ-PARKS"
13.6830620431657|304000|"2"|"AQ-PARKS"
0.440694407713629|334600|"20"|"AQ-PARKS"
88.0959997059683|2558152.9|"24"|"AQ-PARKS"
0.648891948520614|1801.54|"26"|"AQ-PARKS"
0.278422533387416|0|"3"|"AQ-PARKS"
0.229255116148031|56423.2|"31"|"AQ-PARKS"
52.8505063073739|7971500|"35"|"AQ-PARKS"
0.0807898340934531|0|"4"|"AQ-PARKS"
28.492791864963|120778.45|"40"|"AQ-PARKS"
0.956233767088337|0|"48"|"AQ-PARKS"
93.4677619923961|71000|"5"|"AQ-PARKS"
0.213445817408086|0|"6"|"AQ-PARKS"
0.154521029277323|95000|"7"|"AQ-PARKS"
386.900470541484|62458|"9"|"AQ-PARKS"
630.268425627209|0|"1"|"CITY-COUNTY"
2205.29437681568|0|"10"|"CITY-COUNTY"
488.4668363827|0|"11"|"CITY-COUNTY"
4410.26646926028|0|"12"|"CITY-COUNTY"
7113.20596727894|0|"13"|"CITY-COUNTY"
2848.42977197657|0|"14"|"CITY-COUNTY"
1484.48414785548|0|"15"|"CITY-COUNTY"
5702.69059403221|0|"16"|"CITY-COUNTY"
372.384355536831|0|"17"|"CITY-COUNTY"
1153.48574783563|0|"18"|"CITY-COUNTY"
5481.26134353414|0|"19"|"CITY-COUNTY"
1933.41643105325|0|"2"|"CITY-COUNTY"
8337.07786555152|0|"20"|"CITY-COUNTY"
781.652280642657|0|"21"|"CITY-COUNTY"
1252.94891979115|0|"22"|"CITY-COUNTY"
618.021427575262|0|"23"|"CITY-COUNTY"
9461.92936770729|0|"24"|"CITY-COUNTY"
528.027045881072|0|"25"|"CITY-COUNTY"
946.243951209918|0|"26"|"CITY-COUNTY"
864.840530649277|0|"27"|"CITY-COUNTY"
522.163863629843|0|"28"|"CITY-COUNTY"
338.704903330461|0|"29"|"CITY-COUNTY"
510.828162721555|0|"3"|"CITY-COUNTY"
366.397012780376|0|"30"|"CITY-COUNTY"
10556.898474181|0|"31"|"CITY-COUNTY"
361.741868704023|0|"32"|"CITY-COUNTY"
1140.61734200392|0|"33"|"CITY-COUNTY"
538.28930947402|0|"34"|"CITY-COUNTY"
5635.69118229453|0|"35"|"CITY-COUNTY"
365.593073232838|0|"36"|"CITY-COUNTY"
312.260199177777|0|"37"|"CITY-COUNTY"
1804.06014816649|0|"38"|"CITY-COUNTY"
7807.60868366912|0|"39"|"CITY-COUNTY"
1416.23478369712|0|"4"|"CITY-COUNTY"
3298.80884664251|0|"40"|"CITY-COUNTY"
744.078212338414|0|"41"|"CITY-COUNTY"
4281.14742880042|0|"42"|"CITY-COUNTY"
157.023552049931|0|"43"|"CITY-COUNTY"
846.220817236992|0|"44"|"CITY-COUNTY"
708.748942859207|0|"45"|"CITY-COUNTY"
239.978824321176|0|"46"|"CITY-COUNTY"
985.863221759725|0|"47"|"CITY-COUNTY"
434.255317379156|0|"48"|"CITY-COUNTY"
1059.08364686625|0|"49"|"CITY-COUNTY"
15649.7431294525|0|"5"|"CITY-COUNTY"
2828.0411103066|0|"6"|"CITY-COUNTY"
4133.62224481201|0|"7"|"CITY-COUNTY"
1507.71452851595|0|"8"|"CITY-COUNTY"
2378.50328471225|0|"9"|"CITY-COUNTY"
13.5179260542537|1700000|"10"|"CONSERVATION"
1043.89279465406|1689000|"12"|"CONSERVATION"
46.2830162987391|0|"13"|"CONSERVATION"
2733.69607303005|26332700|"14"|"CONSERVATION"
