acres,areaname,agency
41.21,1,OTHER PUBLIC
519.25,2,AQ-DNR
1012.88,10,AQ-DFW
2130.78,3,OTHER PUBLIC
6041.68,4,DEVELOPED RECREATION
11774.06,6,HABITAT AND PASSIVE RECREATION
12292.91,6,PARKS
70281.66,1,CONSERVATION
244634.01,8,HABITAT AND PASSIVE RECREATION
510815.14,6,REVENUE
541340.27,3,REVENUE
804041.74,4,REVENUE
2806725.74,6,UNKNOWN
4235305.46,4,CONG-LANDUSE
1431.07,5,OTHER PUBLIC
1522.46,8,AQ-PARKS
8498.9,3,AQ-DFW
11134.78,2,FEDERAL
11842.47,4,PARKS
19447.24,10,CITY-COUNTY
30437.06,6,CONSERVATION
30901.45,3,CONG-ACQ
34224.21,6,AQ-DNR
40902.05,3,HABITAT AND PASSIVE RECREATION
65169.12,8,DNR AQUATIC
80892.07,7,DNR AQUATIC
89186.08,7,CONG-LANDUSE
219557.27,1,DNR AQUATIC
1836223.46,5,UNKNOWN
4235305.46,4,CONG-OWNER
4.67,9,AQ-PARKS
6.41,9,CONG-ACQ
32.12,2,OTHER PUBLIC
266.92,10,DEVELOPED RECREATION
477.4,9,HABITAT AND PASSIVE RECREATION
514.67,10,OTHER PUBLIC
2473.43,8,OTHER PUBLIC
8465.81,2,DFW
25538.35,5,PARKS
37129.32,6,CONG-ACQ
41651.1,9,CONG-OWNER
47130.86,1,CONG-ACQ
77979.72,4,DNR AQUATIC
109180.09,4,CONG-ACQ
158292.11,10,UNKNOWN
198904.32,3,DNR AQUATIC
218006.68,10,CONG-OWNER
235514.26,8,DFW
343240.69,1,REVENUE
618562.32,2,DNR AQUATIC
714697.9,2,CONG-LANDUSE
1545776.44,6,FEDERAL
3426310.96,8,CONG-OWNER
5.6,7,AQ-DNR
439.08,2,AQ-DFW
561.58,9,PARKS
683.76,5,CONSERVATION
2228.24,2,DEVELOPED RECREATION
6772.93,1,PARKS
16050.67,2,PARKS
21036.61,2,DNR UPLANDS
32702.96,3,DFW
40995.12,9,UNKNOWN
41651.1,9,CONG-LANDUSE
73770.67,3,CITY-COUNTY
89124.86,7,UNKNOWN
170157.64,8,AQ-DNR
226507.66,4,HABITAT AND PASSIVE RECREATION
335006.93,8,REVENUE
539684.86,6,DNR UPLANDS
714697.9,2,CONG-OWNER
1162175.44,6,DNR AQUATIC
1705272.36,3,UNKNOWN
2309715.89,1,FEDERAL
2328551.45,3,CONG-OWNER
2584790.3,8,FEDERAL
1.74,9,AQ-DNR
23.92,7,FEDERAL
55.58,7,REVENUE
70.94,10,AQ-PARKS
84.18,9,DEVELOPED RECREATION
918.29,6,OTHER PUBLIC
2656.37,1,AQ-DFW
3811.04,1,DEVELOPED RECREATION
5043.75,10,DFW
7916.62,6,DFW
17994.63,3,PARKS
22331.93,2,HABITAT AND PASSIVE RECREATION
31396.16,3,CONSERVATION
44368.52,5,DNR AQUATIC
45657.42,10,DNR AQUATIC
93528.08,5,DFW
112124.62,5,HABITAT AND PASSIVE RECREATION
230826.52,4,DFW
371544.15,8,DNR UPLANDS
572538.57,3,DNR UPLANDS
836113.48,4,DNR UPLANDS
1432640.3,3,FEDERAL
2322308.54,5,CONG-LANDUSE
2990278.62,4,FEDERAL
3029819.11,1,CONG-OWNER
3426310.96,8,CONG-LANDUSE
94.4,9,REVENUE
2221.29,6,AQ-DFW
2527.5,10,HABITAT AND PASSIVE RECREATION
5580.79,2,CONSERVATION
6245.18,6,DEVELOPED RECREATION
17086.86,9,CITY-COUNTY
20198.73,8,PARKS
25828.62,5,AQ-DFW
39447.71,2,CITY-COUNTY
51483.41,10,REVENUE
53649.08,10,DNR UPLANDS
54453.85,5,CITY-COUNTY
58672.54,4,AQ-DNR
88264.65,4,CITY-COUNTY
89186.08,7,CONG-OWNER
99069.2,6,CITY-COUNTY
364947.65,5,REVENUE
2322308.54,5,CONG-OWNER
2328551.45,3,CONG-LANDUSE
3366915.47,6,CONG-LANDUSE
5.6,7,CONG-ACQ
55.58,7,DNR UPLANDS
94.4,9,DNR UPLANDS
442.85,2,AQ-PARKS
1401.18,2,CONG-ACQ
1476.67,10,AQ-DNR
2098.87,4,OTHER PUBLIC
3817.01,8,DEVELOPED RECREATION
7509.83,3,DEVELOPED RECREATION
8948.49,1,HABITAT AND PASSIVE RECREATION
10183.44,5,AQ-DNR
23908.26,9,DNR AQUATIC
37260.85,5,CONG-ACQ
41268.65,8,CONSERVATION
44474.49,1,AQ-DNR
69296.3,8,AQ-DFW
74017.27,1,CITY-COUNTY
149094.4,8,CITY-COUNTY
240976.4,8,CONG-ACQ
669015.38,2,UNKNOWN
1737376.84,5,FEDERAL
2603496.02,1,UNKNOWN
3029819.11,1,CONG-LANDUSE
3366915.47,6,CONG-OWNER
5.64,7,DEVELOPED RECREATION
671.7,3,AQ-PARKS
683.82,6,AQ-PARKS
1021.74,10,PARKS
1248.79,5,AQ-PARKS
1327.67,4,AQ-PARKS
2560.49,10,CONG-ACQ
4922.07,10,CONSERVATION
6897.98,5,DEVELOPED RECREATION
8214.51,7,CITY-COUNTY
8345.44,1,DFW
15509.44,2,REVENUE
21730.85,3,AQ-DNR
40090.42,4,CONSERVATION
49179.88,4,AQ-DFW
93187.45,10,FEDERAL
218006.68,10,CONG-LANDUSE
367042.9,5,DNR UPLANDS
411410.31,1,DNR UPLANDS
2799110.93,8,UNKNOWN
3156525.09,4,UNKNOWN
