"acres"|"acquisitioncost"|"name10"|"agency"
10043.95|427800|"Adams"|"DFW"
66787.4|17637327|"Asotin"|"DFW"
6715.62|0|"Benton"|"DFW"
78357.82|2691000|"Chelan"|"DFW"
894.42|3417700|"Clallam"|"DFW"
3044.29|500000|"Clark"|"DFW"
16177.9|1722000|"Columbia"|"DFW"
7982.25|0|"Cowlitz"|"DFW"
38989.8|1689600|"Douglas"|"DFW"
8144.74|0|"Ferry"|"DFW"
17984.03|1732600|"Franklin"|"DFW"
12139.88|920000|"Garfield"|"DFW"
173980.59|251160|"Grant"|"DFW"
7428.54|5669526|"Grays Harbor"|"DFW"
750.55|670000|"Island"|"DFW"
1332.91|3589000|"Jefferson"|"DFW"
1144.78|0|"King"|"DFW"
1199.44|1298000|"Kitsap"|"DFW"
338630.55|54257132|"Kittitas"|"DFW"
17216.06|1112048|"Klickitat"|"DFW"
16127.05|0|"Lewis"|"DFW"
20504.95|350000|"Lincoln"|"DFW"
910.63|2515000|"Mason"|"DFW"
110038.57|88503302|"Okanogan"|"DFW"
7094.22|32300|"Pacific"|"DFW"
3396.34|9100000|"Pend Oreille"|"DFW"
3792.93|447600|"Pierce"|"DFW"
154.66|0|"San Juan"|"DFW"
12463.3|4039700|"Skagit"|"DFW"
479.65|0|"Skamania"|"DFW"
6522.16|6500000|"Snohomish"|"DFW"
144.01|876000|"Spokane"|"DFW"
36.85|0|"Stevens"|"DFW"
4709.81|6129000|"Thurston"|"DFW"
774.91|479000|"Wahkiakum"|"DFW"
213.87|0|"Walla Walla"|"DFW"
4953.22|2807122|"Whatcom"|"DFW"
2279.12|0|"Whitman"|"DFW"
193260.66|37154628|"Yakima"|"DFW"
10043.95|427800|"Adams"|"DNR"
66787.4|17637327|"Asotin"|"DNR"
6715.62|0|"Benton"|"DNR"
78357.82|2691000|"Chelan"|"DNR"
894.42|3417700|"Clallam"|"DNR"
3044.29|500000|"Clark"|"DNR"
16177.9|1722000|"Columbia"|"DNR"
7982.25|0|"Cowlitz"|"DNR"
38989.8|1689600|"Douglas"|"DNR"
8144.74|0|"Ferry"|"DNR"
17984.03|1732600|"Franklin"|"DNR"
12139.88|920000|"Garfield"|"DNR"
173980.59|251160|"Grant"|"DNR"
7428.54|5669526|"Grays Harbor"|"DNR"
750.55|670000|"Island"|"DNR"
1332.91|3589000|"Jefferson"|"DNR"
1144.78|0|"King"|"DNR"
1199.44|1298000|"Kitsap"|"DNR"
338630.55|54257132|"Kittitas"|"DNR"
17216.06|1112048|"Klickitat"|"DNR"
16127.05|0|"Lewis"|"DNR"
20504.95|350000|"Lincoln"|"DNR"
910.63|2515000|"Mason"|"DNR"
110038.57|88503302|"Okanogan"|"DNR"
7094.22|32300|"Pacific"|"DNR"
3396.34|9100000|"Pend Oreille"|"DNR"
3792.93|447600|"Pierce"|"DNR"
154.66|0|"San Juan"|"DNR"
12463.3|4039700|"Skagit"|"DNR"
479.65|0|"Skamania"|"DNR"
6522.16|6500000|"Snohomish"|"DNR"
144.01|876000|"Spokane"|"DNR"
36.85|0|"Stevens"|"DNR"
4709.81|6129000|"Thurston"|"DNR"
774.91|479000|"Wahkiakum"|"DNR"
213.87|0|"Walla Walla"|"DNR"
4953.22|2807122|"Whatcom"|"DNR"
2279.12|0|"Whitman"|"DNR"
193260.66|37154628|"Yakima"|"DNR"
36449.77|0|"Adams"|"FEDERAL"
79283.1999999999|0|"Asotin"|"FEDERAL"
299147.68|0|"Benton"|"FEDERAL"
1583853.18|0|"Chelan"|"FEDERAL"
566783.83|0|"Clallam"|"FEDERAL"
13586.57|0|"Clark"|"FEDERAL"
168036.15|0|"Columbia"|"FEDERAL"
46054.76|0|"Cowlitz"|"FEDERAL"
70817.4200000001|0|"Douglas"|"FEDERAL"
1225342|0|"Ferry"|"FEDERAL"
65871.23|0|"Franklin"|"FEDERAL"
111292.08|0|"Garfield"|"FEDERAL"
255683.68|0|"Grant"|"FEDERAL"
360413.16|0|"Grays Harbor"|"FEDERAL"
80.87|0|"Island"|"FEDERAL"
774479.540000001|0|"Jefferson"|"FEDERAL"
405332.220000001|0|"King"|"FEDERAL"
8524.62|0|"Kitsap"|"FEDERAL"
701720.38|0|"Kittitas"|"FEDERAL"
203186.03|0|"Klickitat"|"FEDERAL"
517789.349999998|0|"Lewis"|"FEDERAL"
85123.18|0|"Lincoln"|"FEDERAL"
178726.93|0|"Mason"|"FEDERAL"
2313730.75|0|"Okanogan"|"FEDERAL"
9318.24|0|"Pacific"|"FEDERAL"
551355.08|0|"Pend Oreille"|"FEDERAL"
374836.33|0|"Pierce"|"FEDERAL"
3045.25|0|"San Juan"|"FEDERAL"
565410.850000001|0|"Skagit"|"FEDERAL"
869261.959999997|0|"Skamania"|"FEDERAL"
703168.930000001|0|"Snohomish"|"FEDERAL"
20131.27|0|"Spokane"|"FEDERAL"
469967.56|0|"Stevens"|"FEDERAL"
8857.77|0|"Thurston"|"FEDERAL"
2873.57|0|"Wahkiakum"|"FEDERAL"
20874.6|0|"Walla Walla"|"FEDERAL"
912305.439999998|0|"Whatcom"|"FEDERAL"
11978.06|0|"Whitman"|"FEDERAL"
2009340.87|0|"Yakima"|"FEDERAL"
20675.1|73080|"Adams"|"PARKS"
1664.48|2962792|"Asotin"|"PARKS"
4699.46|8214890.24|"Chelan"|"PARKS"
13693.89|65834519.84|"Clallam"|"PARKS"
3018.88|2398643.78|"Clark"|"PARKS"
72.86|4|"Columbia"|"PARKS"
1484.2|916000|"Cowlitz"|"PARKS"
14907.24|990909.81|"Douglas"|"PARKS"
91.8|22002|"Ferry"|"PARKS"
12455.63|30375|"Franklin"|"PARKS"
32823.47|31213682.16|"Grant"|"PARKS"
5309.41000000001|9416731.5|"Grays Harbor"|"PARKS"
19773.13|136872489.94|"Island"|"PARKS"
10764.7|18190804.72|"Jefferson"|"PARKS"
34181.08|134299233.8|"King"|"PARKS"
3773.47|17566709.2|"Kitsap"|"PARKS"
27501.78|12645593.46|"Kittitas"|"PARKS"
17085.42|2660671.26|"Klickitat"|"PARKS"
5362.1|14404889.18|"Lewis"|"PARKS"
257.92|500|"Lincoln"|"PARKS"
5183.45|47806044.48|"Mason"|"PARKS"
5736.58|45957505.34|"Okanogan"|"PARKS"
15727.62|51195017.74|"Pacific"|"PARKS"
395.22|40002|"Pend Oreille"|"PARKS"
11473.31|52338965.36|"Pierce"|"PARKS"
21878.53|22220362.78|"San Juan"|"PARKS"
13263.12|94542976.5100001|"Skagit"|"PARKS"
16099.44|8991339.96|"Skamania"|"PARKS"
9274.06|25767452.16|"Snohomish"|"PARKS"
93700.85|9433371.01|"Spokane"|"PARKS"
2511.78|4799557.89|"Stevens"|"PARKS"
6995.24|20157416|"Thurston"|"PARKS"
13012.39|45492182.8|"Whatcom"|"PARKS"
23258.56|268747|"Whitman"|"PARKS"
997.64|372615.12|"Yakima"|"PARKS"
