"acres"|"acquisitioncost"|"areaname"|"agency"
2717.83812451695|15171646|"Asotin"|"AQ-DFW"
139.33391683112|883000|"Chelan"|"AQ-DFW"
37.2943433965172|1694500|"Clallam"|"AQ-DFW"
57.2169487356747|0|"Clark"|"AQ-DFW"
100.258549243864|540000|"Columbia"|"AQ-DFW"
726.821254881939|0|"Cowlitz"|"AQ-DFW"
628.730571358062|1094000|"Douglas"|"AQ-DFW"
121.823482826637|1402000|"Franklin"|"AQ-DFW"
5.09729209335251|920000|"Garfield"|"AQ-DFW"
41.3477501993227|201160|"Grant"|"AQ-DFW"
213.194549626599|2385526|"Grays Harbor"|"AQ-DFW"
3.74653495247879|335000|"Island"|"AQ-DFW"
14.987173303118|185000|"Jefferson"|"AQ-DFW"
80.8980080741932|890000|"Kitsap"|"AQ-DFW"
12207.513038281|34182073|"Kittitas"|"AQ-DFW"
142.971585000932|905274|"Klickitat"|"AQ-DFW"
56.3497033585857|350000|"Lincoln"|"AQ-DFW"
49.2315701242998|2588600|"Mason"|"AQ-DFW"
3823.3777272768|42153345|"Okanogan"|"AQ-DFW"
407.759411690687|4079410|"Pacific"|"AQ-DFW"
577.990140859562|9100000|"Pend Oreille"|"AQ-DFW"
6.00050003845498|447600|"Pierce"|"AQ-DFW"
468.70972646226|2281700|"Skagit"|"AQ-DFW"
174.643840093384|3250000|"Snohomish"|"AQ-DFW"
177.10179407041|2499000|"Thurston"|"AQ-DFW"
23.3551824512093|479000|"Wahkiakum"|"AQ-DFW"
10.2884077053675|68100|"Whatcom"|"AQ-DFW"
3326.85905042609|18294989|"Yakima"|"AQ-DFW"
258.831834711276|614300|"Adams"|"AQ-DNR"
164.752614557218|288250|"Asotin"|"AQ-DNR"
1050.06904442382|19726587.62|"Benton"|"AQ-DNR"
128.381393514733|1464000|"Chelan"|"AQ-DNR"
1233.18512718774|25712000|"Clallam"|"AQ-DNR"
184.361635081963|6257000|"Clark"|"AQ-DNR"
14.7303479371847|40000|"Cowlitz"|"AQ-DNR"
7.95752755672454|10000|"Douglas"|"AQ-DNR"
0.00707510282869209|4622170|"Ferry"|"AQ-DNR"
628.898870256421|17287972|"Franklin"|"AQ-DNR"
189.941756847588|600000|"Garfield"|"AQ-DNR"
140.586880227276|7750000|"Grant"|"AQ-DNR"
1346.50915715863|40867450|"Grays Harbor"|"AQ-DNR"
20.2622169696371|1742075|"Island"|"AQ-DNR"
1327.06555105187|44400800|"Jefferson"|"AQ-DNR"
9218.97159717231|144453500|"King"|"AQ-DNR"
576.24249433192|21411050|"Kitsap"|"AQ-DNR"
23003.6795303167|186423978|"Kittitas"|"AQ-DNR"
245.134774697831|8226500|"Klickitat"|"AQ-DNR"
818.590859677669|53170000|"Lewis"|"AQ-DNR"
250.532760479712|2558100|"Lincoln"|"AQ-DNR"
593.456213073593|27202000|"Mason"|"AQ-DNR"
448.585149845547|23424148|"Okanogan"|"AQ-DNR"
588.484039681363|38336000|"Pacific"|"AQ-DNR"
21.8514698295526|2140000|"Pierce"|"AQ-DNR"
1271.94706141826|56287850|"Skagit"|"AQ-DNR"
143.992095245633|10658000|"Skamania"|"AQ-DNR"
3862.60628679735|56501439|"Snohomish"|"AQ-DNR"
0.970160889376423|30000|"Spokane"|"AQ-DNR"
385.612594936122|6175270|"Stevens"|"AQ-DNR"
274.683258239461|42404500|"Thurston"|"AQ-DNR"
13.10129149306|667000|"Wahkiakum"|"AQ-DNR"
36.7061757277724|124000|"Whatcom"|"AQ-DNR"
953.216718548839|8356170|"Whitman"|"AQ-DNR"
9065.36206425629|92993678|"Yakima"|"AQ-DNR"
