acres,areaname,agency
1013.1,Adams,OTHER PUBLIC
1538.64,Adams,PARKS
2590.39,Adams,HABITAT AND PASSIVE RECREATION
30091.8,Adams,FEDERAL
218.91,Adams,CONSERVATION
33212.15,Adams,UNKNOWN
89703.16,Adams,COUNTY-OWNER
1153.71,Adams,DFW
1284,Adams,AQ-DNR
1344.94,Adams,DNR AQUATIC
2666.82,Adams,COUNTY-ACQ
682.67,Adams,AQ-PARKS
700.15,Adams,AQ-DFW
1775.41,Adams,CITY-COUNTY
5.27,Adams,DEVELOPED RECREATION
52663.34,Adams,REVENUE
89703.16,Adams,COUNTY-LANDUSE
53798.66,Adams,DNR UPLANDS
45385.91,Asotin,HABITAT AND PASSIVE RECREATION
22281.66,Asotin,AQ-DFW
23098.96,Asotin,COUNTY-ACQ
73271.44,Asotin,UNKNOWN
132349.14,Asotin,COUNTY-OWNER
832.24,Asotin,PARKS
2851.96,Asotin,DNR AQUATIC
12597.9,Asotin,DNR UPLANDS
69418.05,Asotin,FEDERAL
1093.89,Asotin,DEVELOPED RECREATION
12597.9,Asotin,REVENUE
45647.56,Asotin,DFW
132349.14,Asotin,COUNTY-LANDUSE
817.3,Asotin,AQ-DNR
1001.43,Asotin,CITY-COUNTY
124.71,Benton,OTHER PUBLIC
5434.88,Benton,COUNTY-ACQ
430526.66,Benton,COUNTY-LANDUSE
49.91,Benton,DEVELOPED RECREATION
5434.88,Benton,AQ-DNR
324404.12,Benton,FEDERAL
375744.82,Benton,UNKNOWN
5714.91,Benton,HABITAT AND PASSIVE RECREATION
5764.82,Benton,DFW
49017.02,Benton,DNR UPLANDS
430526.66,Benton,COUNTY-OWNER
22653.41,Benton,CITY-COUNTY
28687.29,Benton,DNR AQUATIC
48892.31,Benton,REVENUE
26591.64,Chelan,HABITAT AND PASSIVE RECREATION
1631257.71,Chelan,COUNTY-OWNER
7794.74,Chelan,CITY-COUNTY
32364.37,Chelan,REVENUE
874.67,Chelan,AQ-DFW
41131.21,Chelan,DNR AQUATIC
1565763.48,Chelan,UNKNOWN
1271.53,Chelan,PARKS
4208.22,Chelan,CONSERVATION
631.41,Chelan,AQ-DNR
1506.08,Chelan,COUNTY-ACQ
1440.45,Chelan,OTHER PUBLIC
1516837.53,Chelan,FEDERAL
889.55,Chelan,DEVELOPED RECREATION
26406.94,Chelan,DFW
37815.76,Chelan,DNR UPLANDS
1631257.71,Chelan,COUNTY-LANDUSE
903.24,Clallam,DEVELOPED RECREATION
161429.63,Clallam,REVENUE
1265324.69,Clallam,COUNTY-LANDUSE
479.54,Clallam,OTHER PUBLIC
512578.34,Clallam,FEDERAL
580383.25,Clallam,DNR AQUATIC
653.09,Clallam,CONSERVATION
4490.98,Clallam,PARKS
161955.02,Clallam,DNR UPLANDS
130.67,Clallam,AQ-DFW
683.36,Clallam,DFW
1098194.96,Clallam,UNKNOWN
3664.23,Clallam,HABITAT AND PASSIVE RECREATION
5233.74,Clallam,CITY-COUNTY
5929.78,Clallam,AQ-DNR
54.75,Clallam,AQ-PARKS
6115.2,Clallam,COUNTY-ACQ
1265324.69,Clallam,COUNTY-OWNER
1272.15,Clark,PARKS
894.66,Clark,DEVELOPED RECREATION
2807.47,Clark,DFW
15102.88,Clark,CITY-COUNTY
56477.14,Clark,REVENUE
1317.93,Clark,COUNTY-ACQ
7819.03,Clark,FEDERAL
11600.97,Clark,DNR AQUATIC
56940.45,Clark,DNR UPLANDS
95542.95,Clark,COUNTY-LANDUSE
3147.63,Clark,HABITAT AND PASSIVE RECREATION
95542.95,Clark,COUNTY-OWNER
114.21,Clark,AQ-DFW
452.99,Clark,CONSERVATION
50.72,Clark,OTHER PUBLIC
246.65,Clark,AQ-PARKS
957.07,Clark,AQ-DNR
34519.81,Clark,UNKNOWN
369.3,Columbia,CITY-COUNTY
1473,Columbia,DNR AQUATIC
11501.3,Columbia,HABITAT AND PASSIVE RECREATION
36.43,Columbia,PARKS
1237.36,Columbia,COUNTY-ACQ
9544.14,Columbia,REVENUE
161480.57,Columbia,UNKNOWN
36.43,Columbia,DEVELOPED RECREATION
481.52,Columbia,AQ-DFW
755.84,Columbia,AQ-DNR
9544.14,Columbia,DNR UPLANDS
182577.01,Columbia,COUNTY-LANDUSE
182577.01,Columbia,COUNTY-OWNER
14.57,Columbia,OTHER PUBLIC
11515.87,Columbia,DFW
159638.27,Columbia,FEDERAL
505.25,Cowlitz,PARKS
34752.6,Cowlitz,FEDERAL
86482.96,Cowlitz,DNR UPLANDS
546.52,Cowlitz,DEVELOPED RECREATION
148547.69,Cowlitz,COUNTY-OWNER
163.6,Cowlitz,CONSERVATION
7966.87,Cowlitz,DFW
3984.06,Cowlitz,COUNTY-ACQ
86337.53,Cowlitz,REVENUE
96.41,Cowlitz,AQ-DNR
6867.43,Cowlitz,CITY-COUNTY
7349.79,Cowlitz,HABITAT AND PASSIVE RECREATION
53536.39,Cowlitz,UNKNOWN
3887.65,Cowlitz,AQ-DFW
148547.69,Cowlitz,COUNTY-LANDUSE
613.86,Cowlitz,OTHER PUBLIC
11972.58,Cowlitz,DNR AQUATIC
55418.97,Douglas,FEDERAL
188630.49,Douglas,COUNTY-LANDUSE
100704.62,Douglas,DNR UPLANDS
165.78,Douglas,DEVELOPED RECREATION
792.5,Douglas,CONSERVATION
3071.43,Douglas,COUNTY-ACQ
100309.75,Douglas,REVENUE
38.98,Douglas,AQ-DNR
3032.45,Douglas,AQ-DFW
4969.1,Douglas,DNR AQUATIC
10271.56,Douglas,CITY-COUNTY
70659.63,Douglas,UNKNOWN
16702.83,Douglas,HABITAT AND PASSIVE RECREATION
17253.85,Douglas,DFW
12.39,Douglas,PARKS
188630.49,Douglas,COUNTY-OWNER
923.72,Ferry,CITY-COUNTY
520293.1,Ferry,COUNTY-OWNER
0,Ferry,COUNTY-ACQ
45.9,Ferry,DEVELOPED RECREATION
28981.61,Ferry,DNR UPLANDS
487388.04,Ferry,UNKNOWN
520293.1,Ferry,COUNTY-LANDUSE
45.9,Ferry,PARKS
3877.55,Ferry,DFW
28981.61,Ferry,REVENUE
485516.76,Ferry,FEDERAL
947.56,Ferry,DNR AQUATIC
3877.55,Ferry,HABITAT AND PASSIVE RECREATION
595.2,Franklin,AQ-DFW
10215.04,Franklin,DNR AQUATIC
114357.86,Franklin,COUNTY-OWNER
239.65,Franklin,CONSERVATION
30970.76,Franklin,DNR UPLANDS
4564.98,Franklin,HABITAT AND PASSIVE RECREATION
2252.22,Franklin,PARKS
2349.96,Franklin,DFW
30723.97,Franklin,REVENUE
78785.19,Franklin,UNKNOWN
3127.84,Franklin,AQ-DNR
8181.54,Franklin,CITY-COUNTY
36.93,Franklin,DEVELOPED RECREATION
7.14,Franklin,OTHER PUBLIC
3723.04,Franklin,COUNTY-ACQ
60388.34,Franklin,FEDERAL
114357.86,Franklin,COUNTY-LANDUSE
7127.5,Garfield,DFW
7127.5,Garfield,HABITAT AND PASSIVE RECREATION
896,Garfield,AQ-DNR
11154.35,Garfield,DNR UPLANDS
916,Garfield,COUNTY-ACQ
11154.35,Garfield,REVENUE
20,Garfield,AQ-DFW
2347.73,Garfield,DNR AQUATIC
98204.63,Garfield,UNKNOWN
116486.48,Garfield,COUNTY-LANDUSE
116486.48,Garfield,COUNTY-OWNER
293.57,Garfield,CITY-COUNTY
95563.33,Garfield,FEDERAL
14.27,Grant,AQ-PARKS
713.3,Grant,AQ-DNR
6011.12,Grant,PARKS
23575.73,Grant,CITY-COUNTY
278506.61,Grant,UNKNOWN
193.22,Grant,AQ-DFW
237627.85,Grant,FEDERAL
34675.61,Grant,DFW
415291.53,Grant,COUNTY-LANDUSE
920.79,Grant,COUNTY-ACQ
95626.44,Grant,REVENUE
82.36,Grant,CONSERVATION
96100.02,Grant,DNR UPLANDS
871.01,Grant,OTHER PUBLIC
2519.54,Grant,DEVELOPED RECREATION
17301.2,Grant,DNR AQUATIC
37685.57,Grant,HABITAT AND PASSIVE RECREATION
415291.53,Grant,COUNTY-OWNER
138.1,Grays Harbor,AQ-PARKS
1194.67,Grays Harbor,DEVELOPED RECREATION
1225.92,Grays Harbor,AQ-DFW
90414.94,Grays Harbor,DNR UPLANDS
4651.26,Grays Harbor,DFW
8206.16,Grays Harbor,COUNTY-ACQ
5029.26,Grays Harbor,HABITAT AND PASSIVE RECREATION
6842.14,Grays Harbor,AQ-DNR
152811.48,Grays Harbor,FEDERAL
180640.7,Grays Harbor,DNR AQUATIC
486490.57,Grays Harbor,COUNTY-LANDUSE
65.09,Grays Harbor,OTHER PUBLIC
486490.57,Grays Harbor,COUNTY-OWNER
1577.17,Grays Harbor,PARKS
9033.92,Grays Harbor,CONSERVATION
56395.02,Grays Harbor,CITY-COUNTY
81595.98,Grays Harbor,REVENUE
389571.65,Grays Harbor,UNKNOWN
5.85,Island,OTHER PUBLIC
157.38,Island,AQ-PARKS
332.73,Island,COUNTY-ACQ
190902.33,Island,DNR AQUATIC
203203.81,Island,UNKNOWN
420.32,Island,DNR UPLANDS
3948.98,Island,HABITAT AND PASSIVE RECREATION
208796.4,Island,COUNTY-LANDUSE
166.41,Island,DFW
334.34,Island,REVENUE
1191.69,Island,DEVELOPED RECREATION
4463.95,Island,CITY-COUNTY
7901.12,Island,FEDERAL
142.7,Island,AQ-DNR
4942.27,Island,PARKS
208796.4,Island,COUNTY-OWNER
111.73,Island,CONSERVATION
32.65,Island,AQ-DFW
195.65,Jefferson,AQ-DFW
253.66,Jefferson,AQ-PARKS
210507.82,Jefferson,DNR UPLANDS
893.97,Jefferson,DFW
12861.2,Jefferson,CONSERVATION
13187.88,Jefferson,AQ-DNR
1158013.9,Jefferson,COUNTY-OWNER
1215.44,Jefferson,HABITAT AND PASSIVE RECREATION
234238.07,Jefferson,DNR AQUATIC
3300.47,Jefferson,CITY-COUNTY
2272.52,Jefferson,DEVELOPED RECREATION
13637.19,Jefferson,COUNTY-ACQ
706042.06,Jefferson,FEDERAL
2.51,Jefferson,OTHER PUBLIC
3031.51,Jefferson,PARKS
1158013.9,Jefferson,COUNTY-LANDUSE
198074.99,Jefferson,REVENUE
943587.24,Jefferson,UNKNOWN
55377.92,King,AQ-DNR
86721.69,King,REVENUE
126541.65,King,DNR UPLANDS
523.88,King,AQ-PARKS
8016.24,King,HABITAT AND PASSIVE RECREATION
9024.47,King,PARKS
761126.89,King,COUNTY-LANDUSE
103255.01,King,DNR AQUATIC
1376.42,King,DEVELOPED RECREATION
55901.8,King,COUNTY-ACQ
625192.58,King,UNKNOWN
761126.89,King,COUNTY-OWNER
404.57,King,DFW
39809.04,King,CONSERVATION
155777.82,King,CITY-COUNTY
366123.37,King,FEDERAL
10.92,King,OTHER PUBLIC
2.07,Kitsap,OTHER PUBLIC
693.51,Kitsap,HABITAT AND PASSIVE RECREATION
15400.04,Kitsap,DNR UPLANDS
126637.3,Kitsap,UNKNOWN
1086,Kitsap,DFW
144168.84,Kitsap,COUNTY-LANDUSE
1031.99,Kitsap,PARKS
3832.53,Kitsap,AQ-DNR
4263.2,Kitsap,COUNTY-ACQ
4928.65,Kitsap,CONSERVATION
11564.76,Kitsap,REVENUE
430.67,Kitsap,AQ-DFW
8321.91,Kitsap,FEDERAL
342.55,Kitsap,DEVELOPED RECREATION
17198.76,Kitsap,CITY-COUNTY
101130.14,Kitsap,DNR AQUATIC
144168.84,Kitsap,COUNTY-OWNER
9448.18,Kittitas,CONSERVATION
9980.36,Kittitas,PARKS
1462.95,Kittitas,DEVELOPED RECREATION
207375.89,Kittitas,REVENUE
660505.49,Kittitas,FEDERAL
208974.03,Kittitas,DFW
210504.57,Kittitas,HABITAT AND PASSIVE RECREATION
1116697.49,Kittitas,COUNTY-LANDUSE
459.99,Kittitas,AQ-PARKS
989.57,Kittitas,OTHER PUBLIC
10472.61,Kittitas,CITY-COUNTY
15923.14,Kittitas,DNR AQUATIC
210841.86,Kittitas,DNR UPLANDS
185721.1,Kittitas,COUNTY-ACQ
686916.33,Kittitas,UNKNOWN
68399.29,Kittitas,AQ-DFW
116861.82,Kittitas,AQ-DNR
1116697.49,Kittitas,COUNTY-OWNER
696.48,Klickitat,AQ-DFW
958.76,Klickitat,OTHER PUBLIC
13881.66,Klickitat,DFW
15159.87,Klickitat,DNR AQUATIC
4617.69,Klickitat,CITY-COUNTY
62259.09,Klickitat,UNKNOWN
185926.33,Klickitat,COUNTY-LANDUSE
3024.5,Klickitat,AQ-DNR
96004.45,Klickitat,REVENUE
2353.72,Klickitat,DEVELOPED RECREATION
3825.46,Klickitat,COUNTY-ACQ
185926.33,Klickitat,COUNTY-OWNER
104.48,Klickitat,AQ-PARKS
5053.57,Klickitat,PARKS
8918.91,Klickitat,CONSERVATION
15431.4,Klickitat,HABITAT AND PASSIVE RECREATION
42481.53,Klickitat,FEDERAL
104732.01,Klickitat,DNR UPLANDS
1856.59,Lewis,AQ-DFW
332.29,Lewis,OTHER PUBLIC
634.63,Lewis,DEVELOPED RECREATION
2753.21,Lewis,HABITAT AND PASSIVE RECREATION
3716.35,Lewis,DNR AQUATIC
97148.29,Lewis,DNR UPLANDS
520139.25,Lewis,UNKNOWN
620978,Lewis,COUNTY-LANDUSE
2.25,Lewis,AQ-PARKS
4391.68,Lewis,AQ-DNR
620978,Lewis,COUNTY-OWNER
462.74,Lewis,CONSERVATION
2220.77,Lewis,DFW
96655.88,Lewis,REVENUE
36296.55,Lewis,CITY-COUNTY
6250.52,Lewis,COUNTY-ACQ
1469.69,Lewis,PARKS
480126.35,Lewis,FEDERAL
146626.6,Lincoln,COUNTY-OWNER
1218.38,Lincoln,AQ-DNR
1571.5,Lincoln,DNR AQUATIC
19236.27,Lincoln,DFW
275.19,Lincoln,AQ-DFW
1322.71,Lincoln,CITY-COUNTY
45740.77,Lincoln,DNR UPLANDS
1493.57,Lincoln,COUNTY-ACQ
78690.87,Lincoln,FEDERAL
81585.08,Lincoln,UNKNOWN
225.4,Lincoln,CONSERVATION
146626.6,Lincoln,COUNTY-LANDUSE
64.48,Lincoln,PARKS
19300.75,Lincoln,HABITAT AND PASSIVE RECREATION
45515.37,Lincoln,REVENUE
238.38,Mason,AQ-DFW
288254.65,Mason,COUNTY-LANDUSE
1422.97,Mason,PARKS
166020.13,Mason,FEDERAL
225839.07,Mason,UNKNOWN
288254.65,Mason,COUNTY-OWNER
4951.54,Mason,COUNTY-ACQ
56891.77,Mason,REVENUE
1029.56,Mason,DEVELOPED RECREATION
13571.34,Mason,CITY-COUNTY
600.54,Mason,DFW
911.04,Mason,HABITAT AND PASSIVE RECREATION
4480.6,Mason,AQ-DNR
60404.45,Mason,DNR UPLANDS
232.56,Mason,AQ-PARKS
3214.13,Mason,CONSERVATION
369.08,Mason,OTHER PUBLIC
46235.22,Mason,DNR AQUATIC
1762.67,Okanogan,PARKS
78903.64,Okanogan,HABITAT AND PASSIVE RECREATION
88449.29,Okanogan,DFW
25.58,Okanogan,OTHER PUBLIC
31064.95,Okanogan,COUNTY-ACQ
37200.71,Okanogan,CONSERVATION
28323.79,Okanogan,AQ-DFW
307379.11,Okanogan,DNR UPLANDS
2110.91,Okanogan,AQ-DNR
2184.76,Okanogan,DEVELOPED RECREATION
1584004.69,Okanogan,UNKNOWN
279276.38,Okanogan,REVENUE
1569483.08,Okanogan,FEDERAL
630.25,Okanogan,AQ-PARKS
1981595.76,Okanogan,COUNTY-LANDUSE
4729.76,Okanogan,CITY-COUNTY
9791.85,Okanogan,DNR AQUATIC
