acres,areaname,agency
7.11,11,DNR UPLANDS
10.04,38,DNR UPLANDS
29.06,30,DNR UPLANDS
36.21,1,PARKS
169.27,27,PARKS
334.39,3,DNR AQUATIC
778.25,22,DNR UPLANDS
994.09,1,DNR AQUATIC
1809.27,30,CITY-COUNTY
2607.13,25,CITY-COUNTY
3082.48,40,FEDERAL
6272.86,22,CITY-COUNTY
7103.83,10,DFW
7815.4,32,DNR AQUATIC
24708.19,14,DNR AQUATIC
46830.52,24,CITY-COUNTY
52359.75,31,CITY-COUNTY
74135.61,23,DNR AQUATIC
183759.06,20,DNR UPLANDS
188141.96,15,FEDERAL
196350.55,42,DNR AQUATIC
256336.46,16,FEDERAL
274651.27,13,DFW
337822.08,13,DNR UPLANDS
410704.92,40,LEG-OWNER
2317455.02,7,LEG-LANDUSE
3362.64,39,DEVELOPED RECREATION
1.49,26,CONSERVATION
25939.08,4,LEG-LANDUSE
428761.69,19,LEG-LANDUSE
5842.91,37,UNKNOWN
20597.06,7,AQ-DFW
111.73,10,CONSERVATION
79.38,17,AQ-DNR
12976.6,40,REVENUE
721.79,26,HABITAT AND PASSIVE RECREATION
166.18,45,REVENUE
244.96,1,REVENUE
23.31,22,REVENUE
2762.79,11,UNKNOWN
722.85,22,CONSERVATION
5.6,34,AQ-DNR
2347.85,43,UNKNOWN
0.39,4,AQ-PARKS
477.26,16,AQ-DFW
246565.18,10,UNKNOWN
1057.37,15,DEVELOPED RECREATION
80888.7,42,REVENUE
10,38,LEG-ACQ
2380.01,49,HABITAT AND PASSIVE RECREATION
5843.11,37,LEG-LANDUSE
22003.98,24,AQ-DNR
3296.44,4,REVENUE
0.83,6,LEG-ACQ
409236.25,7,REVENUE
40352.82,10,REVENUE
2632.71,25,LEG-LANDUSE
11709.94,33,LEG-OWNER
25991.21,22,LEG-LANDUSE
0,32,LEG-ACQ
29414.4,5,CONSERVATION
5.85,10,OTHER PUBLIC
36.21,1,HABITAT AND PASSIVE RECREATION
202.64,22,LEG-ACQ
9566.28,32,LEG-OWNER
169.27,27,HABITAT AND PASSIVE RECREATION
226131.17,15,LEG-LANDUSE
23601.27,9,AQ-DFW
808,44,LEG-ACQ
5843.11,37,LEG-OWNER
1.9,1,FEDERAL
5.01,4,DFW
7.8,25,DNR UPLANDS
23.86,29,FEDERAL
23.92,36,FEDERAL
38.31,2,DFW
49.05,41,DNR UPLANDS
138.7,38,FEDERAL
180.47,44,DNR UPLANDS
194.26,38,DFW
362.7,11,DNR AQUATIC
489.4,48,PARKS
570.86,22,DFW
1298.43,26,DNR UPLANDS
1306.07,26,PARKS
1695.5,32,CITY-COUNTY
1949.01,22,FEDERAL
2380.01,49,DFW
2540.73,15,DNR AQUATIC
3533.82,21,CITY-COUNTY
5349.37,48,DNR AQUATIC
5728.7,6,PARKS
6029.92,18,CITY-COUNTY
7570.99,41,DNR AQUATIC
9312.13,40,PARKS
9789.3,8,DNR AQUATIC
11085.78,20,DFW
13463.17,4,PARKS
16293.25,22,DNR AQUATIC
19454.4,7,CITY-COUNTY
67164.43,28,FEDERAL
255823.74,39,DNR UPLANDS
917980.76,13,FEDERAL
1371519.8,24,FEDERAL
181.29,7,OTHER PUBLIC
1600.15,42,CONSERVATION
233132.88,2,LEG-OWNER
14.77,33,HABITAT AND PASSIVE RECREATION
484.95,24,OTHER PUBLIC
14399.42,12,AQ-DFW
5930.39,44,UNKNOWN
43232.11,31,REVENUE
243980.2,5,LEG-OWNER
355145.72,14,REVENUE
1.14,31,AQ-PARKS
2792293.12,24,LEG-OWNER
15757.36,12,LEG-ACQ
46393.31,34,LEG-OWNER
1124.4,2,HABITAT AND PASSIVE RECREATION
6109.11,46,LEG-LANDUSE
1024.86,40,DEVELOPED RECREATION
381689.77,40,UNKNOWN
172.94,2,DEVELOPED RECREATION
3093.43,19,AQ-DFW
36344.77,9,LEG-ACQ
288.36,30,HABITAT AND PASSIVE RECREATION
12911.33,49,LEG-LANDUSE
194.26,38,HABITAT AND PASSIVE RECREATION
2344.44,17,LEG-OWNER
4311.15,15,HABITAT AND PASSIVE RECREATION
1681841.92,39,LEG-OWNER
3.07,49,DEVELOPED RECREATION
7579.44,44,LEG-OWNER
11797.7,41,LEG-LANDUSE
778712.37,20,LEG-LANDUSE
24515.12,22,UNKNOWN
2792937.48,12,UNKNOWN
1928.7,9,AQ-PARKS
2.47,21,REVENUE
5786.43,45,LEG-LANDUSE
390557.22,35,LEG-OWNER
263069.86,31,UNKNOWN
198275.47,15,UNKNOWN
0,21,LEG-ACQ
231.07,15,AQ-DNR
3982.33,13,DEVELOPED RECREATION
2758.33,3,LEG-OWNER
2101.1,17,UNKNOWN
638.15,35,OTHER PUBLIC
0.55,27,REVENUE
323688.21,31,LEG-OWNER
1905670.48,14,LEG-LANDUSE
3516.25,24,DEVELOPED RECREATION
5.39,4,LEG-ACQ
94064.74,28,LEG-OWNER
36776.92,31,LEG-ACQ
0.15,36,DNR UPLANDS
1.49,26,DFW
2.47,21,DNR UPLANDS
17.78,25,DNR AQUATIC
92.97,33,PARKS
110,18,DFW
166.18,45,DNR UPLANDS
765.52,43,CITY-COUNTY
1011.17,23,DNR UPLANDS
1109.01,31,PARKS
1272.15,18,PARKS
1468.58,44,DFW
2422.04,2,DNR AQUATIC
4670.2,26,CITY-COUNTY
5103.15,15,DFW
5914.85,33,DNR AQUATIC
7592.78,15,CITY-COUNTY
7748.51,8,CITY-COUNTY
16489.07,42,CITY-COUNTY
24077.21,9,DNR AQUATIC
27857.3,16,DNR AQUATIC
59501.64,31,DNR UPLANDS
77102.85,5,CITY-COUNTY
126619.12,35,DNR UPLANDS
363479.33,40,DNR AQUATIC
2720282.79,12,FEDERAL
12660.74,10,HABITAT AND PASSIVE RECREATION
0,49,LEG-ACQ
16707.24,21,UNKNOWN
408039.9,16,LEG-LANDUSE
1.66,15,AQ-DFW
296.39,15,CONSERVATION
0,11,LEG-ACQ
2818.74,12,DEVELOPED RECREATION
1904.39,29,LEG-LANDUSE
2.07,26,OTHER PUBLIC
