"acres"|"acquisitioncost"|"sldust12"|"agency"
23.06|0|"01"|"DFW"
51.35|440000|"02"|"DFW"
5.01|876000|"04"|"DFW"
704.52|0|"05"|"DFW"
69.33|0|"06"|"DFW"
64980.83|36250823|"07"|"DFW"
2986.41|0|"08"|"DFW"
98343.6299999999|20717727|"09"|"DFW"
8431.6|877700|"10"|"DFW"
196033.34|65733079|"12"|"DFW"
528302.59|54858292|"13"|"DFW"
177083.59|38266426|"14"|"DFW"
6293.07|250|"15"|"DFW"
23107.39|1722000|"16"|"DFW"
40.4|0|"17"|"DFW"
110.27|0|"18"|"DFW"
12826.07|5800826|"19"|"DFW"
26973.3|5934000|"20"|"DFW"
1.38|0|"21"|"DFW"
606.77|0|"22"|"DFW"
2.87|0|"23"|"DFW"
5050.92|7386700|"24"|"DFW"
105.26|0|"25"|"DFW"
3115.86|0|"26"|"DFW"
3481.25|0|"28"|"DFW"
67.25|7600|"31"|"DFW"
3380.83|4008000|"35"|"DFW"
198.14|0|"38"|"DFW"
5032.6|250000|"39"|"DFW"
1477.22|3622000|"40"|"DFW"
1.42|0|"41"|"DFW"
4796.61|2807122|"42"|"DFW"
2534.56|6460000|"44"|"DFW"
379.29|0|"45"|"DFW"
59.55|0|"47"|"DFW"
2380.01|500000|"49"|"DFW"
23.06|0|"01"|"DNR"
51.35|440000|"02"|"DNR"
5.01|876000|"04"|"DNR"
704.52|0|"05"|"DNR"
69.33|0|"06"|"DNR"
64980.83|36250823|"07"|"DNR"
2986.41|0|"08"|"DNR"
98343.6299999999|20717727|"09"|"DNR"
8431.6|877700|"10"|"DNR"
196033.34|65733079|"12"|"DNR"
528302.59|54858292|"13"|"DNR"
177083.59|38266426|"14"|"DNR"
6293.07|250|"15"|"DNR"
23107.39|1722000|"16"|"DNR"
40.4|0|"17"|"DNR"
110.27|0|"18"|"DNR"
12826.07|5800826|"19"|"DNR"
26973.3|5934000|"20"|"DNR"
1.38|0|"21"|"DNR"
606.77|0|"22"|"DNR"
2.87|0|"23"|"DNR"
5050.92|7386700|"24"|"DNR"
105.26|0|"25"|"DNR"
3115.86|0|"26"|"DNR"
3481.25|0|"28"|"DNR"
67.25|7600|"31"|"DNR"
3380.83|4008000|"35"|"DNR"
198.14|0|"38"|"DNR"
5032.6|250000|"39"|"DNR"
1477.22|3622000|"40"|"DNR"
1.42|0|"41"|"DNR"
4796.61|2807122|"42"|"DNR"
2534.56|6460000|"44"|"DNR"
379.29|0|"45"|"DNR"
59.55|0|"47"|"DNR"
2380.01|500000|"49"|"DNR"
1.9|0|"01"|"FEDERAL"
197087.41|0|"02"|"FEDERAL"
106339.15|0|"05"|"FEDERAL"
2709520.47|0|"07"|"FEDERAL"
236780.67|0|"08"|"FEDERAL"
300507.26|0|"09"|"FEDERAL"
10604.62|0|"10"|"FEDERAL"
3493246.65|0|"12"|"FEDERAL"
975804.47|0|"13"|"FEDERAL"
2581033.97000001|0|"14"|"FEDERAL"
477195.58|0|"15"|"FEDERAL"
272451.83|0|"16"|"FEDERAL"
7540.43|0|"18"|"FEDERAL"
12624.95|0|"19"|"FEDERAL"
565686.529999999|0|"20"|"FEDERAL"
1272.26|0|"22"|"FEDERAL"
8524.62|0|"23"|"FEDERAL"
1617880.73|0|"24"|"FEDERAL"
12001.26|0|"25"|"FEDERAL"
2.53|0|"26"|"FEDERAL"
11821.55|0|"27"|"FEDERAL"
6029.9|0|"28"|"FEDERAL"
3424.16|0|"30"|"FEDERAL"
241737.36|0|"31"|"FEDERAL"
180362.41|0|"35"|"FEDERAL"
23308.65|0|"38"|"FEDERAL"
1457222.2|0|"39"|"FEDERAL"
3168.97|0|"40"|"FEDERAL"
912944.219999999|0|"42"|"FEDERAL"
0.17|0|"44"|"FEDERAL"
292.67|0|"49"|"FEDERAL"
1955.16|0|"01"|"PARKS"
5648.18|25417622.28|"02"|"PARKS"
8579.13|289385|"03"|"PARKS"
44483.05|1853068.12|"04"|"PARKS"
22604.55|96718100.36|"05"|"PARKS"
26319.87|498249.5|"06"|"PARKS"
20474.24|7651173.39|"07"|"PARKS"
35997.59|3315305|"09"|"PARKS"
26774.76|195688125.83|"10"|"PARKS"
33931.78|54955821.14|"12"|"PARKS"
54669.39|43865025.81|"13"|"PARKS"
33184.86|11652011.22|"14"|"PARKS"
997.64|372615.12|"15"|"PARKS"
120.84|10|"16"|"PARKS"
3018.88|2398643.78|"18"|"PARKS"
20113.16|56055721.42|"19"|"PARKS"
10345.8|16130891.18|"20"|"PARKS"
253.96|201100|"22"|"PARKS"
444.42|207406|"23"|"PARKS"
27390.78|90294009.26|"24"|"PARKS"
5525.28|33016486.24|"26"|"PARKS"
1451.58|1220060|"27"|"PARKS"
1144.84|640|"30"|"PARKS"
4798.6|17975036.84|"31"|"PARKS"
371.88|187088|"33"|"PARKS"
9740.12|62098554.08|"35"|"PARKS"
12692.93|51023653.16|"39"|"PARKS"
34339.97|67352677.2|"40"|"PARKS"
2338.41|9166174|"41"|"PARKS"
757.97|831008|"42"|"PARKS"
1955.16|0|"46"|"PARKS"
123.66|825000|"47"|"PARKS"
1943.68|15864194.6|"48"|"PARKS"
