acres,areaname,agency
159133.32,STATE,AQ-DFW
341446.4,STATE,AQ-DNR
5972.88,STATE,AQ-PARKS
622878.55,STATE,CITY-COUNTY
224660.56,STATE,CONSERVATION
36907.7,STATE,DEVELOPED RECREATION
622343.45,STATE,DFW
2569089.4,STATE,DNR AQUATIC
3173187.95,STATE,DNR UPLANDS
12705335.15,STATE,FEDERAL
670235.76,STATE,HABITAT AND PASSIVE RECREATION
9640.44,STATE,OTHER PUBLIC
112282.04,STATE,PARKS
2966553.27,STATE,REVENUE
506552.6,STATE,STATE-ACQ
19805116.54,STATE,STATE-LANDUSE
19805116.54,STATE,STATE-OWNER
15897118.81,STATE,UNKNOWN
