"acres"|"acquisitioncost"|"agency"
26340.7401778789|141014281|"AQ-DFW"
58469.2676292433|621109821.62|"AQ-DNR"
995.277304745674|51845963.19|"AQ-PARKS"
127547.71628729|0|"CITY-COUNTY"
32205.4588911143|222319300|"CONSERVATION"
10149.8501217999|88851109.83|"DEVELOPED RECREATION"
121404.580210566|167954459|"DFW"
530593.389234479|2662946|"DNR AQUATIC"
634781.741984863|652970996.62|"DNR UPLANDS"
2606496.50141813|0|"FEDERAL"
662389.402796286|323540597.67|"HABITAT AND PASSIVE RECREATION"
2084.02048760368|4870039|"OTHER PUBLIC"
22836.6594883209|260578181.65|"PARKS"
3753755.50340331|0|"PROPOSED DFW"
1841932.00032009|0|"PROPOSED DNR"
1243065.23555758|0|"PROPOSED PARKS"
602832.298063111|435926867.62|"REVENUE"
1309616.37091822|1084166583.27|"STATE"
3513067.19938918|1081503637.27|"UNKNOWN"
