"acres"|"acquisitioncost"|"wria_nm"|"agency"
187238.15|26460680|"Alkali-Squilchuck"|"DFW"
78.31|0|"Cedar-Sammamish"|"DFW"
94.27|0|"Chambers-Clover"|"DFW"
13528.68|700000|"Chelan"|"DFW"
29.62|0|"Colville"|"DFW"
23063.08|0|"Cowlitz"|"DFW"
432.66|1934000|"Deschutes"|"DFW"
85.53|0|"Duwamish-Green"|"DFW"
750.68|2840200|"Elwha-Dungeness"|"DFW"
15802.1|0|"Entiat"|"DFW"
19828.69|1732600|"Esquatzel Coulee"|"DFW"
10334.81|1519600|"Foster"|"DFW"
33219.56|0|"Grand Coulee"|"DFW"
1387.12|479000|"Grays/Elochoman"|"DFW"
260.58|670000|"Island"|"DFW"
344.13|512000|"Kennedy-Goldsborough"|"DFW"
4281.81|37000|"Kettle"|"DFW"
4817.98|3667000|"Kitsap"|"DFW"
16983.41|636548|"Klickitat"|"DFW"
916.15|0|"Lewis"|"DFW"
2910.85|9100000|"Little Spokane"|"DFW"
5798.23|2069526|"Lower Chehalis"|"DFW"
143170.58|251160|"Lower Crab"|"DFW"
9510|4039700|"Lower Skagit / Samish"|"DFW"
275.19|350000|"Lower Spokane"|"DFW"
14535.16|1714050|"Lower Yakima"|"DFW"
15.89|0|"Lyre-Hoko"|"DFW"
48827.89|55913290|"Methow"|"DFW"
8140.75|0|"Middle Lake Roosevelt"|"DFW"
84085.68|18717327|"Middle Snake"|"DFW"
5.01|876000|"Middle Spokane"|"DFW"
8106.08|120000|"Moses Coulee"|"DFW"
122938.24|42700094|"Naches"|"DFW"
607.71|0|"Nisqually"|"DFW"
4949.46|2807122|"Nooksack"|"DFW"
60697.09|32553012|"Okanogan"|"DFW"
3346.47|427800|"Palouse"|"DFW"
616.82|0|"Pend Oreille"|"DFW"
155.01|447600|"Puyallup-White"|"DFW"
12.52|0|"Queets-Quinault"|"DFW"
1037.67|4166500|"Quilcene-Snow"|"DFW"
2762.36|500000|"Salmon-Washougal"|"DFW"
154.66|0|"San Juan"|"DFW"
104.35|0|"Sanpoil"|"DFW"
561.58|0|"Skokomish-Dosewallips"|"DFW"
4147.62|6460000|"Snohomish"|"DFW"
114.96|0|"Soleduc"|"DFW"
1120.83|40000|"Stillaguamish"|"DFW"
5749.81|7795000|"Upper Chehalis"|"DFW"
23982.13|350000|"Upper Crab-Wilson"|"DFW"
3.24|0|"Upper Lake Roosevelt"|"DFW"
3628.54|0|"Upper Skagit"|"DFW"
263985.46|33808452|"Upper Yakima"|"DFW"
2103.61|0|"Walla Walla"|"DFW"
