acres,areaname,agency
2.44,Kennedy-Goldsborough,FEDERAL
36.43,Walla Walla,PARKS
152.87,Deschutes,DFW
183.77,Lewis,PARKS
515.07,Middle Lake Roosevelt,CITY-COUNTY
561.33,Methow,CITY-COUNTY
626.4,Elwha-Dungeness,DFW
1526.6,Palouse,CITY-COUNTY
1610.12,Lower Spokane,DNR AQUATIC
1681.62,Grand Coulee,DFW
1838.3,Kitsap,PARKS
2849.08,Little Spokane,DFW
3081.43,San Juan,FEDERAL
3741.3,Lower Yakima,DNR AQUATIC
3890.76,Moses Coulee,DNR AQUATIC
4358.61,Kitsap,DFW
4460.71,Deschutes,DNR UPLANDS
5352.73,Quilcene-Snow,PARKS
5817.81,Upper Yakima,CITY-COUNTY
6032.97,Chambers-Clover,CITY-COUNTY
6454.87,Lewis,DNR AQUATIC
7850.86,Alkali-Squilchuck,PARKS
10301.14,Lower Skagit-Samish,FEDERAL
10622.51,Upper Skagit,CITY-COUNTY
10835.22,Middle Snake,DNR AQUATIC
12155.82,Klickitat,FEDERAL
18780.26,Middle Lake Roosevelt,DNR UPLANDS
24982.04,Lower Snake,FEDERAL
34238.08,Quilcene-Snow,DNR UPLANDS
75447.88,Willapa,DNR UPLANDS
95912.58,Nooksack,DNR UPLANDS
100297.19,Upper Lake Roosevelt,FEDERAL
130751.75,Lower Chehalis,FEDERAL
256660.97,Lyre-Hoko,DNR AQUATIC
272545.83,Puyallup-White,FEDERAL
275378.03,Skokomish-Dosewallips,FEDERAL
516947.33,Naches,FEDERAL
702309.34,Wenatchee,FEDERAL
104.48,Klickitat,AQ-PARKS
615.55,Lyre-Hoko,DEVELOPED RECREATION
544676.43,Okanogan,WRIA-LANDUSE
366.91,Lower Skagit-Samish,DEVELOPED RECREATION
8531.88,Willapa,HABITAT AND PASSIVE RECREATION
70.94,Upper Chehalis,AQ-PARKS
160763.43,Willapa,UNKNOWN
124.88,Deschutes,AQ-DFW
6887.51,Cedar-Sammamish,REVENUE
5808.38,San Juan,HABITAT AND PASSIVE RECREATION
808992.53,Cowlitz,WRIA-OWNER
7436.9,Entiat,HABITAT AND PASSIVE RECREATION
183228.32,Cedar-Sammamish,WRIA-OWNER
14.57,Middle Snake,OTHER PUBLIC
106346.81,Klickitat,WRIA-OWNER
132725.15,Rock-Glade,WRIA-LANDUSE
37110.98,Middle Snake,REVENUE
432.73,Wenatchee,DEVELOPED RECREATION
0.2,Upper Skagit,OTHER PUBLIC
399.71,Cowlitz,DEVELOPED RECREATION
208.42,Upper Crab-Wilson,AQ-DFW
631.41,Wenatchee,AQ-DNR
37360.73,Alkali-Squilchuck,AQ-DFW
33273.29,Little Spokane,WRIA-LANDUSE
189.14,Palouse,DEVELOPED RECREATION
112405.04,Salmon-Washougal,WRIA-LANDUSE
0.39,Middle Spokane,AQ-PARKS
113333.55,Snohomish,REVENUE
25.36,Okanogan,OTHER PUBLIC
126.49,Nisqually,OTHER PUBLIC
67.01,Grays-Elochoman,AQ-DNR
2805.5,Little Spokane,WRIA-ACQ
4305.93,Esquatzel Coulee,HABITAT AND PASSIVE RECREATION
473.11,Moses Coulee,AQ-DFW
14220.05,Middle Spokane,UNKNOWN
302276.91,Skokomish-Dosewallips,UNKNOWN
225083.7,Nisqually,WRIA-OWNER
126191.75,Upper Crab-Wilson,WRIA-LANDUSE
2905.99,Wind-White Salmon,AQ-DNR
99.91,Quilcene-Snow,AQ-PARKS
298487.16,Puyallup-White,UNKNOWN
308031.98,Puyallup-White,WRIA-LANDUSE
1167.74,Willapa,DEVELOPED RECREATION
6056.83,Stillaguamish,WRIA-ACQ
249.12,Nooksack,AQ-DNR
221519.54,Kitsap,UNKNOWN
248714.91,Okanogan,UNKNOWN
9.92,Nespelem,WRIA-LANDUSE
11642.17,Lower Yakima,HABITAT AND PASSIVE RECREATION
180.2,Hangman,OTHER PUBLIC
185799.75,Sanpoil,UNKNOWN
609128.79,Chelan,WRIA-OWNER
1884.14,Lower Snake,HABITAT AND PASSIVE RECREATION
609128.79,Chelan,WRIA-LANDUSE
617664.03,Nooksack,WRIA-OWNER
41680.03,Alkali-Squilchuck,REVENUE
39.91,Kettle,AQ-DFW
2750.83,Snohomish,DEVELOPED RECREATION
7433.37,Wenatchee,REVENUE
1884.81,Nooksack,CONSERVATION
475.34,Upper Yakima,OTHER PUBLIC
563417.2,Snohomish,UNKNOWN
8095.39,Cowlitz,WRIA-ACQ
1886.06,Klickitat,WRIA-ACQ
1245802.58,Methow,WRIA-OWNER
170237.06,Lower Skagit-Samish,WRIA-OWNER
3.12,Stillaguamish,DFW
52.99,Sanpoil,DFW
87.42,Sanpoil,DNR AQUATIC
166.41,Island,DFW
177.71,Cedar-Sammamish,FEDERAL
313.23,Kettle,CITY-COUNTY
784.73,Skokomish-Dosewallips,PARKS
832.24,Middle Snake,PARKS
860.14,Kettle,DNR AQUATIC
964.68,Lyre-Hoko,PARKS
1344.14,Naches,CITY-COUNTY
1431.3,Upper Chehalis,PARKS
2165.61,Walla Walla,DNR AQUATIC
2221.88,Upper Chehalis,DFW
2234.88,Duwamish-Green,PARKS
2379.74,Upper Yakima,PARKS
2463.19,Snohomish,DFW
3877.55,Middle Lake Roosevelt,DFW
3898.24,Wenatchee,CITY-COUNTY
4463.95,Island,CITY-COUNTY
4997.05,Wenatchee,DFW
5820.49,Kennedy-Goldsborough,CITY-COUNTY
7901.12,Island,FEDERAL
8153.01,Little Spokane,PARKS
8475.08,Puyallup-White,DNR UPLANDS
11046.6,Nisqually,CITY-COUNTY
12392.6,Cedar-Sammamish,DNR UPLANDS
12484.08,Lower Yakima,DFW
13491.27,Salmon-Washougal,CITY-COUNTY
13764.76,Upper Yakima,DNR AQUATIC
15818.67,Puyallup-White,CITY-COUNTY
16087.47,Deschutes,DNR AQUATIC
16412.85,Willapa,FEDERAL
27319.28,Duwamish-Green,DNR AQUATIC
39497.9,Methow,DNR UPLANDS
42133.36,Kitsap,DNR UPLANDS
43598.05,Naches,DFW
47547.77,Lower Chehalis,CITY-COUNTY
49636.25,Okanogan,DFW
50430.59,Moses Coulee,DNR UPLANDS
56579.27,Foster,DNR UPLANDS
60998.12,Nisqually,DNR UPLANDS
63861.34,Middle Snake,DFW
101737.96,Lewis,DNR UPLANDS
112608.32,Alkali-Squilchuck,DFW
141840.54,Soleduc,DNR UPLANDS
