"acres"|"acquisitioncost"|"areaname"|"agency"
42633.69|17609840|"Alkali-Squilchuck"|"AQ-DFW"
3728.04|0|"Cowlitz"|"AQ-DFW"
1.01|304000|"Deschutes"|"AQ-DFW"
178.68|1694500|"Elwha-Dungeness"|"AQ-DFW"
619.85|1402000|"Esquatzel Coulee"|"AQ-DFW"
2559.65|924000|"Foster"|"AQ-DFW"
119.97|479000|"Grays/Elochoman"|"AQ-DFW"
17.91|335000|"Island"|"AQ-DFW"
163.35|434000|"Kennedy-Goldsborough"|"AQ-DFW"
39.93|37000|"Kettle"|"AQ-DFW"
631.47|3386600|"Kitsap"|"AQ-DFW"
599.85|542774|"Klickitat"|"AQ-DFW"
300.60|0|"Lewis"|"AQ-DFW"
2779.52|9100000|"Little Spokane"|"AQ-DFW"
580.63|1185526|"Lower Chehalis"|"AQ-DFW"
205.42|201160|"Lower Crab"|"AQ-DFW"
625.68|2281700|"Lower Skagit / Samish"|"AQ-DFW"
275.19|350000|"Lower Spokane"|"AQ-DFW"
2618.53|1714050|"Lower Yakima"|"AQ-DFW"
3624.29|20780645|"Methow"|"AQ-DFW"
14584.38|16171646|"Middle Snake"|"AQ-DFW"
479.69|120000|"Moses Coulee"|"AQ-DFW"
25319.72|20656097|"Naches"|"AQ-DFW"
48.13|68100|"Nooksack"|"AQ-DFW"
14277.02|21335700|"Okanogan"|"AQ-DFW"
29.95|447600|"Puyallup-White"|"AQ-DFW"
72.64|185000|"Quilcene-Snow"|"AQ-DFW"
841.44|3230000|"Snohomish"|"AQ-DFW"
2.07|20000|"Stillaguamish"|"AQ-DFW"
1380.72|3395000|"Upper Chehalis"|"AQ-DFW"
275.19|350000|"Upper Crab-Wilson"|"AQ-DFW"
1592.11|0|"Upper Skagit"|"AQ-DFW"
30655.31|22708233|"Upper Yakima"|"AQ-DFW"
51.47|621000|"Wenatchee"|"AQ-DFW"
2070.87|4079410|"Willapa"|"AQ-DFW"
149.96|362500|"Wind-White Salmon"|"AQ-DFW"
81770.18|56555000|"Alkali-Squilchuck"|"AQ-DNR"
28778.09|48252000|"Cedar-Sammamish"|"AQ-DNR"
3040.82|5540170|"Colville"|"AQ-DNR"
11306.64|41947000|"Cowlitz"|"AQ-DNR"
197.76|5582000|"Deschutes"|"AQ-DNR"
30549.09|91585000|"Duwamish-Green"|"AQ-DNR"
10553.32|22226000|"Elwha-Dungeness"|"AQ-DNR"
3187.17|11446300|"Esquatzel Coulee"|"AQ-DNR"
67.25|667000|"Grays/Elochoman"|"AQ-DNR"
4.76|30000|"Hangman"|"AQ-DNR"
96.70|1742075|"Island"|"AQ-DNR"
9193.05|37737000|"Kennedy-Goldsborough"|"AQ-DNR"
2912.16|4622170|"Kettle"|"AQ-DNR"
2928.88|23279050|"Kitsap"|"AQ-DNR"
11837.76|15813200|"Klickitat"|"AQ-DNR"
512.18|1345000|"Lewis"|"AQ-DNR"
39.75|151000|"Little Spokane"|"AQ-DNR"
10540.60|40863700|"Lower Chehalis"|"AQ-DNR"
19315.12|53452850|"Lower Skagit / Samish"|"AQ-DNR"
2046.80|14205972|"Lower Snake"|"AQ-DNR"
535.16|484100|"Lower Spokane"|"AQ-DNR"
94723.08|74720000|"Lower Yakima"|"AQ-DNR"
10978.06|21575000|"Lyre-Hoko"|"AQ-DNR"
18.68|215000|"Methow"|"AQ-DNR"
1815.97|888250|"Middle Snake"|"AQ-DNR"
38.98|10000|"Moses Coulee"|"AQ-DNR"
104634.76|84511504|"Naches"|"AQ-DNR"
312.78|7079000|"Nisqually"|"AQ-DNR"
249.35|859000|"Nooksack"|"AQ-DNR"
17621.03|18586978|"Okanogan"|"AQ-DNR"
8737.55|8970470|"Palouse"|"AQ-DNR"
20569.49|27055000|"Puyallup-White"|"AQ-DNR"
9118.05|18101750|"Queets-Quinault"|"AQ-DNR"
12555.81|40997800|"Quilcene-Snow"|"AQ-DNR"
4520.50|17811587.62|"Rock-Glade"|"AQ-DNR"
1119.84|11999000|"Salmon-Washougal"|"AQ-DNR"
10159.65|23827000|"Skokomish-Dosewallips"|"AQ-DNR"
34601.39|108383500|"Snohomish"|"AQ-DNR"
11005.30|21510000|"Soleduc"|"AQ-DNR"
13219.18|22842439|"Stillaguamish"|"AQ-DNR"
10591.08|41510500|"Upper Chehalis"|"AQ-DNR"
3346.25|2558100|"Upper Crab-Wilson"|"AQ-DNR"
2912.16|4622170|"Upper Lake Roosevelt"|"AQ-DNR"
13857.87|19301900|"Upper Skagit"|"AQ-DNR"
159933.64|186870978|"Upper Yakima"|"AQ-DNR"
631.41|1464000|"Wenatchee"|"AQ-DNR"
10431.72|38336000|"Willapa"|"AQ-DNR"
1036.51|7754000|"Wind-White Salmon"|"AQ-DNR"
4.67|0|"Cedar-Sammamish"|"AQ-PARKS"
2.25|334600|"Cowlitz"|"AQ-PARKS"
9.65|127423.2|"Duwamish-Green"|"AQ-PARKS"
1916.38|0|"Hangman"|"AQ-PARKS"
157.38|4804204|"Island"|"AQ-PARKS"
176.94|5300000|"Kennedy-Goldsborough"|"AQ-PARKS"
5.03|473301.54|"Kitsap"|"AQ-PARKS"
104.48|260000|"Klickitat"|"AQ-PARKS"
1.50|16399.58|"Lower Chehalis"|"AQ-PARKS"
1916.38|0|"Lower Crab"|"AQ-PARKS"
96.94|14314601.24|"Lower Skagit / Samish"|"AQ-PARKS"
2.40|0|"Lower Spokane"|"AQ-PARKS"
0.44|1095.08|"Lower Yakima"|"AQ-PARKS"
54.75|452500|"Lyre-Hoko"|"AQ-PARKS"
629.52|12738549.74|"Methow"|"AQ-PARKS"
0.39|0|"Middle Spokane"|"AQ-PARKS"
68.90|304000|"Nisqually"|"AQ-PARKS"
0.73|95000|"Okanogan"|"AQ-PARKS"
1929.10|62458|"Palouse"|"AQ-PARKS"
121.55|173000|"Queets-Quinault"|"AQ-PARKS"
99.91|1164152.9|"Quilcene-Snow"|"AQ-PARKS"
253.69|1229500|"Salmon-Washougal"|"AQ-PARKS"
133.99|120778.45|"San Juan"|"AQ-PARKS"
